,0,1,2,3,4,5
0,-0.37962234,-0.37502152,-0.34663877,-0.23836593,-0.20228007,-0.16618699
1,-0.3671627,-0.36256057,-0.32653394,-0.21826506,-0.1821755,-0.14608203
2,-0.3547171,-0.34254608,-0.30645445,-0.19818151,-0.16208969,-0.12600027
3,-0.34228647,-0.3224917,-0.28639898,-0.17812835,-0.14203773,-0.105947465
4,-0.32987544,-0.30246675,-0.26637423,-0.1581051,-0.12201423,-0.085924074
5,-0.31748205,-0.28247064,-0.24637873,-0.13810676,-0.1020175,-0.06592844
6,-0.29858676,-0.26249427,-0.22640578,-0.11813514,-0.0820459,-0.04595475
7,-0.27863884,-0.24255243,-0.20646086,-0.09818857,-0.06210343,-0.026006658
8,-0.25871542,-0.2226256,-0.1865391,-0.078265734,-0.04217499,-0.006086159
9,-0.238823,-0.20273341,-0.16664103,-0.05837304,-0.022279661,0.013808769
10,-0.2189578,-0.18286502,-0.14677396,-0.038505852,-0.0024167136,0.033679176
11,-0.19911379,-0.16302201,-0.12693314,-0.01865833,0.017432034,0.053517792
12,-0.17929801,-0.1432061,-0.10711466,0.0011573727,0.037242975,0.073335096
13,-0.15950954,-0.12342204,-0.08733001,0.020941945,0.057034053,0.093124665
14,-0.1397455,-0.103655815,-0.06756415,0.040707015,0.07679867,0.11288991
15,-0.120006934,-0.08391714,-0.04782688,0.060441475,0.096532635,0.13262415
16,-0.10030041,-0.06420852,-0.028119124,0.08015413,0.1162433,0.15233131
17,-0.080612674,-0.04452222,-0.008436899,0.09983801,0.13592733,0.17201883
18,-0.06094982,-0.024855604,0.011234913,0.119499765,0.15559362,0.19168428
19,-0.04131304,-0.005223363,0.030867541,0.13913873,0.17522942,0.21132079
20,-0.021703223,0.014383305,0.050472263,0.15874673,0.19483699,0.23092747
21,-0.0021214897,0.03396773,0.0700604,0.17833337,0.21442302,0.25050968
22,0.017433466,0.053525448,0.08961602,0.19788656,0.23398124,0.27006954
23,0.036970142,0.073061146,0.109153524,0.21742512,0.25351351,0.28960317
24,0.05647644,0.092565015,0.12865755,0.2369315,0.2730213,0.3091126
25,0.075960025,0.11205278,0.14814465,0.25641432,0.29250568,0.3285938
26,0.09541688,0.13150765,0.16759753,0.27587065,0.31196168,0.348053
27,0.11485173,0.15094425,0.18703376,0.2953065,0.33139527,0.36748755
28,0.134261,0.17034964,0.20643911,0.3147094,0.3508026,0.38689107
29,0.15363988,0.18973114,0.22582173,0.3340965,0.37018487,0.40627545
30,0.1730054,0.20909588,0.24518327,0.3534555,0.38954863,0.42563763
31,0.1923324,0.22842388,0.2645123,0.37278354,0.40887445,0.44496447
32,0.21164228,0.24773353,0.2838241,0.3920948,0.42818242,0.46427563
33,0.2309276,0.26701862,0.3031088,0.41137907,0.44746882,0.4835584
34,0.2501878,0.28627786,0.32236868,0.4306376,0.4667325,0.50281876
35,0.26942086,0.3055123,0.3416009,0.4498746,0.48596498,0.5220519
36,0.28863275,0.32471973,0.36081147,0.46908444,0.5051758,0.5412673
37,0.30781358,0.3439036,0.37999505,0.48826593,0.5243566,0.5604485
38,0.32697466,0.3630657,0.39915916,0.5074252,0.543517,0.5796079
39,0.34611523,0.38220617,0.41829807,0.52656496,0.56265694,0.5987469
40,0.36522543,0.40131468,0.43740788,0.5456795,0.581769,0.6178602
41,0.3843145,0.42040405,0.4564975,0.5647687,0.60085744,0.63694644
42,0.4033799,0.43947268,0.47556347,0.5838325,0.6199239,0.6560145
43,0.42241973,0.45850822,0.49460173,0.60287434,0.63896435,0.675056
44,0.4414383,0.4775292,0.51362026,0.62188774,0.6579811,0.69407004
45,0.46043292,0.4965246,0.53261185,0.6408864,0.6769754,0.7130663
46,0.4793996,0.5154897,0.55158216,0.6598539,0.69594234,0.7320321
47,0.49834475,0.5344366,0.57052684,0.6787946,0.71488804,0.7509783
48,0.5172605,0.5533516,0.5894411,0.69771516,0.7338051,0.76989555
49,0.5361621,0.5722551,0.6083429,0.7166208,0.75270814,0.7887935
50,0.5550388,0.59112656,0.627215,0.7354875,0.77157915,0.8076695
51,0.5738871,0.60997874,0.6460692,0.7543431,0.79043096,0.826501
52,0.59271204,0.62880343,0.6648931,0.7731619,0.8092526,0.84529805
53,0.61151576,0.6476012,0.68369377,0.79196244,0.8280394,0.8616498
54,0.63029987,0.6663912,0.7024818,0.8107503,0.84680235,0.8707956
55,0.64905196,0.6851415,0.72122717,0.82949805,0.86307806,0.8793524
56,0.66778576,0.7038783,0.73996925,0.8482065,0.8719553,0.88790137
57,0.68649524,0.7225846,0.758674,0.8643581,0.8804915,0.89643806
58,0.7051818,0.7412697,0.77736443,0.8730712,0.8890174,0.9049652
59,0.7238453,0.75993353,0.79602396,0.8815889,0.89753526,0.9134808
60,0.7424885,0.7785772,0.8146662,0.89009553,0.9060419,0.9210911
61,0.7611024,0.79719126,0.83328235,0.898589,0.9137236,0.92784315
62,0.7797001,0.81578946,0.8518726,0.90635026,0.92017335,0.9338627
63,0.79827327,0.83436406,0.8676486,0.9124932,0.92618316,0.939873
64,0.8168187,0.8529101,0.87617457,0.91849643,0.9321865,0.9458754
65,0.8353444,0.8685815,0.8834215,0.9244908,0.93818086,0.95187056
66,0.85333306,0.8757203,0.8894106,0.93048054,0.94416964,0.9578601
67,0.8673736,0.88170105,0.8953908,0.9364604,0.95014966,0.96383935
68,0.87398744,0.8876771,0.9013668,0.94243634,0.95612484,0.969815
69,0.87995225,0.8936433,0.90733194,0.9484027,0.9620926,0.97578156
70,0.8859118,0.8996021,0.9132917,0.9543619,0.96805173,0.98174095
71,0.8918644,0.9055545,0.9192439,0.9603136,0.97400224,0.98769325
72,0.8978098,0.9114996,0.9251892,0.966259,0.97994906,0.99363774
73,0.9037475,0.91743755,0.9311275,0.97219676,0.9858869,0.99957675
74,0.9096769,0.92336637,0.93705666,0.9781262,0.99181724,1.005505
75,0.9156013,0.9292915,0.9429807,0.9840505,0.9977399,1.0114297
76,0.9215162,0.9352064,0.94889563,0.9899637,1.0036539,1.0173429
77,0.9274252,0.9411161,0.954806,0.9958746,1.0095645,1.0232538
78,0.93332773,0.94701684,0.9607061,1.0017759,1.0154663,1.0291559
79,0.9392221,0.9529111,0.96660066,1.0076708,1.0213602,1.0350497
80,0.94510835,0.958798,0.97248787,1.0135571,1.0272472,1.040936
81,0.95099056,0.9646823,0.9783707,1.019438,1.0331293,1.0468191
82,0.9568641,0.97055304,0.9842445,1.0253133,1.0390029,1.0526922
83,0.9627303,0.9764192,0.9901094,1.0311775,1.0448681,1.0585575
84,0.96858823,0.9822792,0.9959679,1.0370384,1.050728,1.0644171
85,0.97444034,0.9881309,1.0018207,1.0428888,1.0565789,1.0702682
86,0.9802866,0.9939756,1.0076658,1.0487354,1.0624229,1.0761143
87,0.9861249,0.9998132,1.0135034,1.0545729,1.0682623,1.0819517
88,0.9919551,1.0056452,1.0193344,1.0604035,1.0740931,1.0877829
89,0.99777895,1.0114686,1.0251589,1.0662287,1.0799183,1.0936075
90,1.0035956,1.0172869,1.0309753,1.0720465,1.0857347,1.0994236
91,1.0094067,1.0230967,1.0367857,1.077855,1.0915457,1.1052351
92,1.0152129,1.0289017,1.0425913,1.0836612,1.0973512,1.1110395
93,1.0210084,1.034698,1.0483879,1.0894575,1.1031471,1.1168379
94,1.0267973,1.0404879,1.0541773,1.0952468,1.1089364,1.1226257
95,1.0325799,1.0462698,1.059959,1.1010293,1.1147189,1.1284082
96,1.0383571,1.0520475,1.0657375,1.1068063,1.1204948,1.1341848
97,1.0441251,1.0578156,1.0715053,1.1125742,1.1262639,1.1399539
98,1.0498896,1.0635777,1.0772681,1.1183383,1.1320281,1.1457165
99,1.0556424,1.0693325,1.0830232,1.1240915,1.1377816,1.1514709
100,1.0613934,1.0750824,1.0887725,1.1298431,1.143532,1.1572211
