,0,1,2,3,4,5,6,7
0,-0.601495,-0.642679,-0.6838647,-0.72479624,-0.7644481,-0.8448401,-0.8665366,-0.88823307
1,-0.5972203,-0.6384054,-0.67958885,-0.7206219,-0.7603888,-0.8426554,-0.8643519,-0.88604826
2,-0.59295064,-0.6341351,-0.6753193,-0.7164524,-0.75633395,-0.8404734,-0.86216944,-0.88386625
3,-0.58868665,-0.62986994,-0.67105407,-0.71224046,-0.7522856,-0.8382941,-0.85999113,-0.881687
4,-0.5844294,-0.62561303,-0.6667976,-0.7079819,-0.7482432,-0.8361183,-0.8578147,-0.87951154
5,-0.5801786,-0.62136173,-0.66254634,-0.70372987,-0.74420655,-0.83394533,-0.8556425,-0.87733865
6,-0.5759308,-0.6171158,-0.6582985,-0.6994827,-0.7401733,-0.8317745,-0.85347134,-0.87516785
7,-0.57169074,-0.612874,-0.6540586,-0.69524384,-0.73614687,-0.82960784,-0.85130423,-0.8730007
8,-0.56745523,-0.60863835,-0.64982253,-0.69100654,-0.7320912,-0.82744217,-0.8491394,-0.8708355
9,-0.5632229,-0.6044073,-0.6455926,-0.68677586,-0.72796005,-0.82528126,-0.8469777,-0.86867386
10,-0.55899906,-0.60018337,-0.6413697,-0.6825522,-0.7237365,-0.82312196,-0.8448191,-0.866515
11,-0.5547797,-0.5959652,-0.63714904,-0.67833215,-0.71951777,-0.8209658,-0.8426624,-0.8643586
12,-0.5505672,-0.59175056,-0.6329356,-0.6741196,-0.71530455,-0.81881255,-0.84050894,-0.86220604
13,-0.54635847,-0.5875436,-0.62872756,-0.6699126,-0.7110963,-0.81666213,-0.8383593,-0.8600554
14,-0.5421569,-0.5833412,-0.6245257,-0.6657097,-0.7068938,-0.81451446,-0.8362108,-0.8579075
15,-0.5379589,-0.5791447,-0.6203287,-0.66151255,-0.7026973,-0.81237,-0.8340665,-0.85576254
16,-0.53376967,-0.57495344,-0.6161387,-0.65732336,-0.6985067,-0.8102277,-0.83192486,-0.8536215
17,-0.52958435,-0.57076824,-0.6119531,-0.65313774,-0.69432056,-0.8080895,-0.82978565,-0.85148257
18,-0.5254021,-0.566587,-0.60777116,-0.6489554,-0.6901402,-0.80590874,-0.8276489,-0.84934473
19,-0.5212267,-0.56241184,-0.60359687,-0.6447808,-0.6859649,-0.80364245,-0.8255151,-0.8472115
20,-0.5170595,-0.5582433,-0.59942836,-0.6406131,-0.681796,-0.80117446,-0.82338446,-0.8450804
21,-0.5128945,-0.5540774,-0.59526414,-0.6364477,-0.6776318,-0.7983184,-0.8212567,-0.84295213
22,-0.50873727,-0.54992026,-0.59110385,-0.63228935,-0.6734737,-0.7948916,-0.8191307,-0.84082717
23,-0.5045839,-0.5457677,-0.5869512,-0.62813455,-0.6693198,-0.7911658,-0.8170082,-0.8387044
24,-0.50043595,-0.54161984,-0.582804,-0.6239881,-0.6651726,-0.7873214,-0.81488836,-0.83658504
25,-0.4962919,-0.53747684,-0.578661,-0.6198462,-0.6610294,-0.7833914,-0.8127712,-0.83446753
26,-0.49215665,-0.5333397,-0.5745239,-0.61570734,-0.65689194,-0.77946234,-0.8106571,-0.83235407
27,-0.48802337,-0.5292076,-0.5703913,-0.611576,-0.6527616,-0.77553827,-0.808545,-0.83024216
28,-0.4838963,-0.5250802,-0.56626475,-0.6074499,-0.6486352,-0.7716223,-0.80638146,-0.8281331
29,-0.47977495,-0.52095973,-0.56214374,-0.60332775,-0.6445127,-0.7676922,-0.8042011,-0.82602686
30,-0.47565913,-0.5168433,-0.5580265,-0.5992128,-0.64039594,-0.7636856,-0.80182713,-0.8239224
31,-0.47154948,-0.5127329,-0.55391735,-0.59510213,-0.6362867,-0.7596875,-0.7990066,-0.8218225
