,0,1,2,3,4,5,6,7,8,9
0,-0.4769331,-0.5180441,-0.64137626,-0.68248683,-0.7235973,-0.76470804,-0.80581826,-0.9181467,-0.94513136,-0.97194284
1,-0.4735935,-0.51470494,-0.6380371,-0.67914695,-0.7202579,-0.76136786,-0.8024795,-0.9159731,-0.94307953,-0.9698913
2,-0.47025898,-0.5113694,-0.6347013,-0.6758123,-0.7169227,-0.758033,-0.7991441,-0.91380167,-0.94103044,-0.9678414
3,-0.4669284,-0.50803906,-0.63137096,-0.6724813,-0.7135924,-0.75470203,-0.7958131,-0.91163296,-0.93898356,-0.9657944
4,-0.46360242,-0.5047122,-0.62804466,-0.66915494,-0.71026605,-0.7513767,-0.7924863,-0.9094675,-0.9369391,-0.9637508
5,-0.46028104,-0.50139135,-0.6247238,-0.6658336,-0.7069446,-0.7480552,-0.7891655,-0.9073051,-0.934898,-0.96170956
6,-0.45696357,-0.49807474,-0.6214065,-0.6625159,-0.7036265,-0.74473745,-0.78584856,-0.9051059,-0.93285966,-0.95967084
7,-0.45365083,-0.49476066,-0.61809343,-0.6592039,-0.7003136,-0.7414252,-0.78253573,-0.90283734,-0.93082374,-0.957635
8,-0.45034194,-0.49145192,-0.614784,-0.6558938,-0.69700545,-0.7381156,-0.77922624,-0.9005108,-0.92876416,-0.9556014
9,-0.4470367,-0.4881475,-0.61147964,-0.65258986,-0.6936995,-0.73481125,-0.77592224,-0.8981082,-0.92661214,-0.9535707
10,-0.44373655,-0.48484802,-0.60818,-0.64929044,-0.6904008,-0.7315109,-0.77262175,-0.8953333,-0.92446375,-0.9515429
11,-0.4404402,-0.48155153,-0.6048844,-0.64599437,-0.68710566,-0.72821474,-0.76932573,-0.8924062,-0.92231786,-0.9495175
12,-0.4371495,-0.47826093,-0.6015912,-0.6427032,-0.68381286,-0.7249243,-0.7660341,-0.88936627,-0.9201748,-0.947495
13,-0.43386292,-0.47497383,-0.5983057,-0.6394169,-0.68052727,-0.7216371,-0.76274765,-0.88608027,-0.9180349,-0.9454756
14,-0.43058005,-0.47169113,-0.5950233,-0.6361339,-0.6772443,-0.7183539,-0.75946593,-0.88279706,-0.9158983,-0.9434577
15,-0.42730254,-0.46841252,-0.5917444,-0.6328561,-0.6739658,-0.71507543,-0.7561871,-0.8795193,-0.91376364,-0.94144356
16,-0.42403316,-0.4651395,-0.5884709,-0.62958217,-0.67069215,-0.71180314,-0.75291383,-0.8762449,-0.911608,-0.93943125
17,-0.42079514,-0.4618695,-0.5852016,-0.6263122,-0.66742194,-0.708534,-0.7496445,-0.87297565,-0.90939355,-0.93737656
18,-0.41761202,-0.45860338,-0.5819352,-0.62304515,-0.664156,-0.7052673,-0.74637794,-0.86970913,-0.9071369,-0.9353066
19,-0.4144338,-0.45534238,-0.5786737,-0.6197848,-0.6608942,-0.7020059,-0.743116,-0.86644757,-0.90484357,-0.93318367
20,-0.4112595,-0.4520854,-0.5754166,-0.61652875,-0.65763795,-0.69874835,-0.739859,-0.86319137,-0.9025133,-0.9310632
21,-0.40808943,-0.4488326,-0.572164,-0.6132746,-0.6543851,-0.6954959,-0.73660636,-0.85993826,-0.89986885,-0.9289451
22,-0.4049233,-0.44558406,-0.56891483,-0.61002654,-0.6511368,-0.69224745,-0.7333588,-0.8566901,-0.8971073,-0.9268304
23,-0.40176114,-0.44233903,-0.56567097,-0.606782,-0.6478925,-0.68900275,-0.73011315,-0.8534453,-0.8942366,-0.9247181
24,-0.39860404,-0.4391001,-0.56243116,-0.603542,-0.6446527,-0.6857628,-0.72687376,-0.8502057,-0.8912617,-0.92260844
25,-0.3955383,-0.43586385,-0.5591945,-0.60030544,-0.6414161,-0.68252695,-0.72363687,-0.8469687,-0.88807994,-0.92050177
26,-0.39257473,-0.43263125,-0.55596393,-0.5970746,-0.63818467,-0.67929524,-0.72040594,-0.84373796,-0.88484794,-0.9183973
27,-0.38961363,-0.42940363,-0.552736,-0.5938455,-0.6349569,-0.6760675,-0.7171782,-0.8405101,-0.8816194,-0.91621274
28,-0.3866569,-0.42619222,-0.54951245,-0.59062254,-0.631733,-0.6728439,-0.71395457,-0.83728623,-0.8783972,-0.91403013
29,-0.3837045,-0.42304298,-0.5462933,-0.5874027,-0.6285139,-0.6696243,-0.710735,-0.8340662,-0.8751776,-0.9117977
30,-0.38075483,-0.41990927,-0.54307646,-0.58418685,-0.62529767,-0.66640866,-0.7075186,-0.8308514,-0.8719619,-0.90953565
31,-0.37781057,-0.41678017,-0.53986603,-0.5809774,-0.6220872,-0.66319835,-0.704308,-0.8276413,-0.8687514,-0.90727973
32,-0.3748677,-0.413654,-0.53665936,-0.5777697,-0.6188798,-0.65999085,-0.7011009,-0.8244331,-0.8655436,-0.9047659
33,-0.3719298,-0.41053247,-0.53345656,-0.5745669,-0.61567736,-0.6567883,-0.69789886,-0.8212304,-0.8623406,-0.9021152
