,0,1,2,3,4,5,6
0,0.7295538,0.7291665,0.72878,0.7283932,0.7272338,0.7268462,0.7264591
1,0.7335239,0.73313713,0.7327498,0.73236364,0.73120177,0.7308147,0.73042864
2,0.7374896,0.73710203,0.7367163,0.7363284,0.7351682,0.73478156,0.73439515
3,0.7414493,0.7410619,0.74067545,0.74028826,0.73912853,0.7387418,0.73835444
4,0.7454035,0.74501705,0.74463016,0.74424195,0.74308157,0.74269557,0.7423088
5,0.7493515,0.74896497,0.74857885,0.748191,0.7470306,0.7466431,0.7462566
6,0.75329655,0.7529091,0.7525224,0.752135,0.75097364,0.7505877,0.75020003
7,0.7572343,0.756847,0.75645936,0.75607324,0.7549126,0.7545267,0.75413907
8,0.7611685,0.76078105,0.7603937,0.7600079,0.7588464,0.7584611,0.75807315
9,0.7650974,0.7647101,0.7643219,0.7639359,0.7627751,0.7623886,0.7620025
10,0.76901984,0.76863337,0.7682463,0.7678582,0.76669854,0.76631117,0.7659241
11,0.7729389,0.77255094,0.7721637,0.7717781,0.7706175,0.77023065,0.7698443
12,0.77685124,0.7764639,0.77607715,0.7756906,0.77453053,0.7741432,0.773755
13,0.780759,0.7803719,0.77998453,0.77959734,0.77843803,0.7780496,0.777664
14,0.78466135,0.78427416,0.78388613,0.7835005,0.78233963,0.7819529,0.78156626
15,0.7885586,0.788173,0.7877844,0.7873981,0.7862377,0.78585017,0.785463
16,0.7924504,0.79206353,0.7916759,0.79128873,0.7901289,0.78974205,0.7893558
17,0.79633754,0.7959507,0.7955625,0.7951773,0.7940161,0.7936294,0.7932419
18,0.8002206,0.7998342,0.79944706,0.7990605,0.7978987,0.7975118,0.7971245
19,0.8040986,0.8037121,0.8033239,0.80293727,0.801777,0.80139035,0.801002
20,0.8079683,0.8075824,0.8071968,0.8068098,0.80564874,0.8052614,0.8048756
21,0.8118376,0.81144977,0.81106335,0.8106759,0.8095158,0.80912906,0.8087421
22,0.81569946,0.8153124,0.8149252,0.81453806,0.8133771,0.81298995,0.81260425
23,0.81955713,0.819169,0.81878203,0.818396,0.81723535,0.81684816,0.8164611
24,0.82340795,0.82302105,0.8226346,0.8222477,0.82108706,0.8206999,0.8203129
25,0.8272553,0.82686895,0.8264819,0.8260942,0.8249352,0.8245479,0.82416064
26,0.8310974,0.8307099,0.8303234,0.82993597,0.82877666,0.82838917,0.82800204
27,0.83493465,0.8345487,0.8341607,0.8337743,0.8326143,0.83222646,0.83184093
28,0.8387679,0.8383794,0.837993,0.8376062,0.83644634,0.836059,0.83567107
29,0.8425946,0.84220743,0.8418202,0.8414329,0.8402728,0.8398854,0.8394993
30,0.84641826,0.8460305,0.84564406,0.84525764,0.84409696,0.84371024,0.8433228
31,0.8502337,0.8498474,0.8494601,0.849074,0.8479137,0.8475261,0.8471389
32,0.85404766,0.85366076,0.85327375,0.8528875,0.85172737,0.85133994,0.8509526
33,0.85785574,0.8574691,0.85708135,0.856696,0.85553473,0.85514784,0.8547596
34,0.86165994,0.8612719,0.86088455,0.86049885,0.85933703,0.8589503,0.85856366
35,0.8654562,0.8650699,0.8646826,0.864296,0.8631358,0.8627481,0.862362
36,0.86925083,0.8688637,0.86847764,0.86808914,0.86692977,0.8665426,0.8661559
37,0.873039,0.8726513,0.872265,0.87187666,0.8707175,0.87033,0.8699437
38,0.87682134,0.87643385,0.876048,0.87566066,0.87450224,0.8741146,0.8737262
39,0.8806017,0.8802145,0.8798278,0.87944055,0.8782809,0.87789285,0.8775056
40,0.8843742,0.88398844,0.8836004,0.8832143,0.88205373,0.881667,0.88128054
41,0.88814473,0.8877578,0.88737047,0.8869832,0.88582414,0.8854366,0.88504875
42,0.89190966,0.89152247,0.89113593,0.8907492,0.8895884,0.8892018,0.8888132
43,0.8956694,0.8952823,0.89489424,0.89450806,0.89334804,0.89296013,0.89257425
44,0.8994232,0.89903724,0.8986504,0.8982627,0.89710283,0.89671487,0.89632946
45,0.9031747,0.90278757,0.90240085,0.90201384,0.90085423,0.90046847,0.90007985
46,0.9069201,0.9065327,0.9061466,0.9057597,0.9045998,0.904213,0.90382487
47,0.91066134,0.9102737,0.90988714,0.90950024,0.9083402,0.9079528,0.90756625
48,0.9143961,0.9140087,0.91362244,0.9132368,0.9120753,0.9116891,0.91130143
49,0.91812783,0.9177418,0.9173555,0.9169676,0.91580856,0.91542035,0.9150331
50,0.921855,0.92146915,0.921082,0.9206956,0.9195335,0.9191475,0.91876173
51,0.9255772,0.92518985,0.924804,0.92441666,0.9232568,0.92286974,0.9224821
52,0.9292946,0.92890835,0.92852074,0.92813414,0.9269722,0.92658657,0.9262006
53,0.93300796,0.9326205,0.9322338,0.93184745,0.93068665,0.93029916,0.92991173
54,0.9367178,0.93633085,0.93594325,0.9355572,0.9343954,0.93400854,0.93362254
55,0.94041944,0.94003344,0.9396471,0.93925846,0.9380987,0.9377115,0.93732446
56,0.94411904,0.9437324,0.9433458,0.9429591,0.9417984,0.9414117,0.941025
57,0.94781405,0.947428,0.94704044,0.9466536,0.9454923,0.94510555,0.9447194
58,0.9515041,0.9511172,0.9507293,0.95034266,0.94918156,0.9487948,0.94840866
59,0.9551898,0.9548026,0.9544161,0.9540295,0.9528689,0.95248175,0.952095
60,0.95887077,0.9584834,0.9580973,0.9577102,0.95654976,0.95616156,0.9557754
61,0.96254545,0.9621591,0.9617719,0.961385,0.9602243,0.95983845,0.9594508
62,0.9662186,0.96583277,0.9654452,0.96505797,0.96389765,0.96351135,0.9631239
63,0.96988624,0.9694984,0.96911293,0.96872467,0.9675642,0.9671778,0.96679133
