0.5746,0.2058,0.3896
0.2564,0.0986,0.1870
0.2472,0.0969,0.2377
0.2802,0.1095,0.1630
0.1610,0.0971,0.1636
0.1656,0.0987,0.1686
0.1701,0.0953,0.1712
0.1716,0.1017,0.1786
0.1749,0.0894,0.1774
0.1684,0.0879,0.1835
0.1650,0.0857,0.1827
0.1783,0.0877,0.2000
0.1816,0.0883,0.2168
0.1766,0.0829,0.2156
0.2595,0.1078,0.2012
0.1562,0.0836,0.1742
0.1723,0.0817,0.1849
0.2637,0.1040,0.2412
0.1830,0.0864,0.2090
0.1742,0.0835,0.2082
0.1960,0.0829,0.1630
0.1814,0.0836,0.1883
0.1781,0.0833,0.2037
0.1552,0.0809,0.1883
0.1576,0.0782,0.1821
0.1641,0.0785,0.1779
0.1385,0.0787,0.1673
0.1604,0.0757,0.1812
0.1556,0.0784,0.1803
0.1683,0.0826,0.1849
0.1532,0.0783,0.1802
0.1860,0.0775,0.1951
0.1943,0.0805,0.2255
0.1584,0.0763,0.2053
0.1527,0.0763,0.1810
0.1573,0.0781,0.1778
0.1713,0.0810,0.2087
0.1647,0.0729,0.2067
0.1600,0.0776,0.1650
0.1281,0.0697,0.1595
0.1433,0.0733,0.1624
0.2072,0.0889,0.2096
0.2097,0.0886,0.2290
0.1269,0.0673,0.1346
0.1699,0.0723,0.1528
0.1551,0.0694,0.1697
0.1295,0.0687,0.1470
0.1288,0.0642,0.1522
0.1394,0.0678,0.1703
0.1271,0.0635,0.1634
0.2089,0.0911,0.1869
0.1269,0.0710,0.1485
0.1282,0.0698,0.1549
0.1297,0.0647,0.1387
0.1160,0.0666,0.1456
0.1204,0.0613,0.1454
0.1189,0.0625,0.1473
0.1724,0.0695,0.1759
0.1335,0.0712,0.1511
0.1211,0.0628,0.1451
0.1192,0.0656,0.1474
0.1778,0.0652,0.1739
0.1785,0.0669,0.2040
0.1398,0.0694,0.1396
0.1176,0.0626,0.1499
0.1224,0.0595,0.1565
0.2025,0.0828,0.1855
0.1250,0.0667,0.1490
0.1284,0.0607,0.1416
0.1125,0.0614,0.1405
0.1229,0.0607,0.1488
0.1202,0.0654,0.1528
0.1219,0.0656,0.1566
0.1094,0.0576,0.1377
0.1102,0.0582,0.1453
0.1312,0.0644,0.1652
0.1212,0.0597,0.1572
0.1083,0.0580,0.1454
0.1232,0.0563,0.1410
0.1183,0.0563,0.1508
0.1388,0.0565,0.1696
0.1166,0.0580,0.1522
0.1139,0.0568,0.1516
0.1362,0.0642,0.1664
0.1883,0.0795,0.2170
0.1669,0.0679,0.1502
0.1170,0.0589,0.1434
0.1372,0.0611,0.1627
0.1147,0.0645,0.1406
0.1367,0.0630,0.1691
0.1113,0.0580,0.1488
0.1278,0.0615,0.1477
0.1250,0.0598,0.1505
0.1058,0.0612,0.1421
0.1024,0.0577,0.1406
0.1240,0.0607,0.1546
0.1153,0.0540,0.1457
0.1123,0.0578,0.1493
0.1137,0.0572,0.1510
0.1375,0.0713,0.1624
0.1050,0.0567,0.1444
0.1131,0.0551,0.1462
0.1139,0.0557,0.0880
0.1150,0.0546,0.0873
0.1103,0.0536,0.0951
0.1151,0.0551,0.0885
0.1181,0.0548,0.0882
0.1113,0.0541,0.0969
