211.9535,887.1135
211.6605,890.6829
210.5107,887.5461
209.5471,891.1851
208.8046,887.9366
208.7322,886.7651
209.5215,887.5430
208.9924,888.0282
209.0126,888.0284
209.2635,888.7549
209.4685,888.6081
209.0593,887.7806
209.6620,889.4352
208.1116,889.5166
211.3531,891.4619
208.6164,891.3665
208.4564,885.8984
208.3534,887.3616
208.1796,887.2410
208.0390,889.1012
208.6238,889.6463
208.2377,891.1419
207.8922,887.6158
207.5166,888.7170
208.3629,887.6538
209.1548,888.0059
207.9482,890.1492
210.2800,891.4025
207.4259,889.0852
207.3521,890.5568
208.1190,890.4646
209.1520,891.0370
207.8181,886.1557
209.4924,887.0966
208.3500,887.6144
206.8525,887.4853
207.7969,888.4808
208.2021,887.7901
208.2276,889.5400
207.7887,890.1670
207.1163,889.6268
206.5780,889.3483
207.5352,888.9475
207.1052,886.6474
207.3152,893.6094
206.5222,888.3795
208.1248,890.4067
207.2952,889.8694
206.1572,889.6597
205.9137,889.7767
206.6776,886.5154
204.9283,877.9995
