,0,1,2
0,-0.60243434,-0.73850787,-0.8745787
1,-0.5985564,-0.73462784,-0.8707003
2,-0.5946822,-0.7307531,-0.8668249
3,-0.5908117,-0.7268849,-0.86295563
4,-0.5869481,-0.72301966,-0.8590925
5,-0.5830914,-0.7191614,-0.8552341
6,-0.5792355,-0.7153079,-0.85137886
7,-0.57538694,-0.7114591,-0.8475304
8,-0.5715424,-0.7076135,-0.8436863
9,-0.56770444,-0.7037765,-0.83984756
10,-0.5638701,-0.6999427,-0.8360144
11,-0.56004137,-0.69611436,-0.83218604
12,-0.5562183,-0.6922898,-0.8283614
13,-0.5523999,-0.6884719,-0.82454306
14,-0.54858655,-0.6846578,-0.820731
15,-0.5447779,-0.68085,-0.8169224
16,-0.54097486,-0.67704684,-0.8131199
17,-0.53717625,-0.67324895,-0.80932117
18,-0.5333822,-0.66945344,-0.8055265
19,-0.5295937,-0.6656655,-0.8017367
20,-0.5258101,-0.6618828,-0.7979544
21,-0.52203065,-0.6581037,-0.79417545
22,-0.518258,-0.6543299,-0.79040116
23,-0.5144882,-0.6505597,-0.7866327
24,-0.51072454,-0.64679635,-0.7828686
25,-0.5069642,-0.6430368,-0.779108
26,-0.5032105,-0.63928235,-0.7753545
27,-0.49946123,-0.63553303,-0.7716033
28,-0.49571615,-0.63178766,-0.76786035
29,-0.49197528,-0.62804776,-0.7641196
30,-0.4882399,-0.62431186,-0.76038337
31,-0.4845113,-0.6205822,-0.75665474
32,-0.48078406,-0.61685616,-0.7529283
33,-0.47706413,-0.6131355,-0.7492074
34,-0.47334656,-0.6094186,-0.7454906
35,-0.46963522,-0.60570735,-0.74178
36,-0.4659293,-0.6020001,-0.73807365
37,-0.46222767,-0.59829956,-0.7343718
38,-0.4585304,-0.5946023,-0.7306733
39,-0.4548376,-0.5909093,-0.72698146
40,-0.45114928,-0.5872222,-0.7232936
41,-0.447466,-0.5835392,-0.7196107
42,-0.44378737,-0.579859,-0.71593153
43,-0.44011384,-0.57618535,-0.71225655
44,-0.43644395,-0.5725162,-0.70858854
45,-0.4327788,-0.5688509,-0.7049231
46,-0.4291187,-0.56519055,-0.70126307
47,-0.4254634,-0.5615363,-0.69760704
48,-0.42181185,-0.5578849,-0.693957
49,-0.4181668,-0.5542386,-0.69031024
50,-0.41452342,-0.55059713,-0.6866694
51,-0.41088733,-0.5469599,-0.68303156
52,-0.4072552,-0.5433277,-0.6793997
53,-0.40362716,-0.5396995,-0.6757716
54,-0.4000022,-0.53607434,-0.672146
55,-0.39638516,-0.53245604,-0.66852814
56,-0.3927685,-0.5288413,-0.66491336
57,-0.38915908,-0.525231,-0.6613027
58,-0.38555345,-0.5216255,-0.6576981
59,-0.38195273,-0.51802427,-0.65409744
60,-0.37835595,-0.51442665,-0.65049857
61,-0.37476298,-0.51083577,-0.64690745
62,-0.37117496,-0.5072458,-0.64331895
63,-0.36759117,-0.50366277,-0.63973457
64,-0.36401188,-0.5000835,-0.63615716
65,-0.36043763,-0.4965106,-0.632582
66,-0.35686666,-0.49293995,-0.6290107
67,-0.3533014,-0.48937324,-0.62544626
68,-0.34973925,-0.4858109,-0.62188345
69,-0.34618318,-0.48225468,-0.61832565
70,-0.3426303,-0.47870117,-0.6147736
71,-0.33908093,-0.47515285,-0.6112249
72,-0.33553737,-0.47160888,-0.60768074
73,-0.33199632,-0.46806774,-0.60414034
74,-0.3284613,-0.46453425,-0.6006061
75,-0.32493,-0.46100146,-0.597074
76,-0.32140324,-0.45747504,-0.59354746
77,-0.31787968,-0.4539512,-0.590024
78,-0.3143606,-0.45043293,-0.5865047
79,-0.31084707,-0.44691926,-0.5829915
80,-0.30733782,-0.44340962,-0.57948166
81,-0.3038306,-0.43990225,-0.57597446
82,-0.30032834,-0.43640116,-0.5724734
83,-0.29683226,-0.43290362,-0.5689758
84,-0.29333875,-0.4294107,-0.56548274
85,-0.28984955,-0.42592233,-0.56199354
86,-0.2863644,-0.42243677,-0.55850786
87,-0.2828845,-0.41895676,-0.55502826
88,-0.2794074,-0.4154801,-0.5515517
89,-0.2759357,-0.4120077,-0.54807925
90,-0.2724673,-0.40853918,-0.54461193
91,-0.2690031,-0.40507525,-0.541147
92,-0.26554224,-0.40161455,-0.5376859
93,-0.26208705,-0.39815873,-0.53423077
94,-0.25863498,-0.3947074,-0.5307798
95,-0.25518835,-0.39126045,-0.52733225
96,-0.25174356,-0.38781562,-0.523888
97,-0.24830352,-0.38437626,-0.5204491
98,-0.24486808,-0.38094047,-0.51701206
99,-0.2414377,-0.37750915,-0.5135808
100,-0.23800951,-0.37408206,-0.5101539
