,0,1,2,3,4,5,6
0,-0.649827,-0.693653,-0.7374792,-0.78130513,-0.87399465,-0.8967981,-0.9196011
1,-0.6453167,-0.689143,-0.7329695,-0.7767955,-0.8717182,-0.8945216,-0.91732436
2,-0.6408126,-0.684639,-0.72846484,-0.77229124,-0.86944425,-0.8922472,-0.91505027
3,-0.63631374,-0.6801413,-0.723967,-0.767793,-0.8671732,-0.8899762,-0.91277975
4,-0.63182235,-0.6756486,-0.7194758,-0.7633027,-0.8649052,-0.8877092,-0.9105124
5,-0.6273372,-0.67116237,-0.7149901,-0.75881517,-0.86264205,-0.88544476,-0.908248
6,-0.6228562,-0.6666833,-0.7105082,-0.75433505,-0.8603799,-0.8831829,-0.9059855
7,-0.61838275,-0.66220915,-0.70603454,-0.7498612,-0.8581125,-0.88092417,-0.90372777
8,-0.6139141,-0.65774053,-0.7015667,-0.7453928,-0.8558396,-0.8786683,-0.90147203
9,-0.609451,-0.65327865,-0.69710404,-0.7409297,-0.85357046,-0.8764158,-0.899219
10,-0.60499346,-0.64882123,-0.6926485,-0.73647285,-0.8513036,-0.8741659,-0.8969694
11,-0.6005443,-0.64436996,-0.6881964,-0.7320222,-0.84904027,-0.87191945,-0.8947223
12,-0.5961001,-0.63992655,-0.6837513,-0.72757816,-0.8467787,-0.8696759,-0.8924784
13,-0.59166014,-0.635487,-0.679314,-0.72313935,-0.84452236,-0.8674342,-0.890239
14,-0.58722717,-0.6310536,-0.6748797,-0.7187052,-0.84221184,-0.8651967,-0.8879994
15,-0.5827987,-0.62662554,-0.67045206,-0.7142785,-0.83985484,-0.8629623,-0.8857644
16,-0.5783772,-0.6222055,-0.6660309,-0.70985883,-0.8371662,-0.86073035,-0.8835327
17,-0.57396394,-0.6177896,-0.66161615,-0.7054414,-0.8343102,-0.85849935,-0.8813041
18,-0.56955206,-0.613377,-0.6572037,-0.7010309,-0.83103955,-0.856255,-0.87907785
19,-0.5651489,-0.60897416,-0.6528016,-0.6966259,-0.827278,-0.8540156,-0.87685335
20,-0.5607494,-0.60457575,-0.648402,-0.6922283,-0.8232229,-0.85177904,-0.87463367
21,-0.5563569,-0.6001819,-0.6440092,-0.68783575,-0.818951,-0.8495446,-0.87241596
22,-0.55196834,-0.59579545,-0.6396224,-0.6834493,-0.8146832,-0.8473131,-0.87020195
23,-0.5475871,-0.5914151,-0.6352406,-0.67906666,-0.8104204,-0.84508544,-0.8679893
24,-0.54321194,-0.5870394,-0.6308643,-0.67469126,-0.80616534,-0.8427846,-0.86578065
25,-0.5388433,-0.5826679,-0.62649363,-0.67032033,-0.8017971,-0.8402757,-0.8635746
26,-0.5344776,-0.57830405,-0.62212974,-0.66595465,-0.7974344,-0.8375974,-0.86137146
27,-0.530118,-0.5739443,-0.6177692,-0.6615966,-0.79307514,-0.83482605,-0.85917073
28,-0.52576476,-0.5695911,-0.6134167,-0.6572441,-0.78872263,-0.8315654,-0.8569638
29,-0.52141774,-0.5652432,-0.6090699,-0.6528947,-0.7843737,-0.827769,-0.85475206
30,-0.51707417,-0.5609005,-0.60472596,-0.6485524,-0.78003055,-0.8235697,-0.85254407
31,-0.51273817,-0.55656666,-0.60039115,-0.6442168,-0.77569664,-0.8193527,-0.8503127
32,-0.50840694,-0.5522333,-0.59605914,-0.63988584,-0.7713646,-0.815141,-0.84800565
33,-0.5040813,-0.54790765,-0.59173334,-0.63555914,-0.76703787,-0.8108647,-0.8457016
34,-0.4997611,-0.54358745,-0.58741343,-0.6312384,-0.7627177,-0.80654496,-0.8432683
35,-0.4954468,-0.5392734,-0.5830995,-0.6269254,-0.7584032,-0.80222887,-0.84062195
36,-0.49113727,-0.53496295,-0.5787884,-0.6226155,-0.75409544,-0.79792106,-0.8379761
37,-0.48683426,-0.5306605,-0.5744868,-0.6183133,-0.74979204,-0.79361886,-0.8352523
38,-0.48253667,-0.52636224,-0.5701887,-0.6140141,-0.7454934,-0.78931934,-0.83220994
39,-0.47824293,-0.5220703,-0.565896,-0.6097214,-0.74120003,-0.7850274,-0.8286122
40,-0.4739562,-0.51778305,-0.5616095,-0.60543483,-0.7369139,-0.78074056,-0.82446074
41,-0.46967563,-0.51350045,-0.5573264,-0.6011544,-0.73263085,-0.77645737,-0.82028353
42,-0.46539673,-0.50922364,-0.55304945,-0.5968765,-0.7283548,-0.7721806,-0.8160074
43,-0.46112683,-0.504953,-0.54877883,-0.5926049,-0.7240852,-0.7679095,-0.8117371
44,-0.4568611,-0.50068796,-0.54451525,-0.5883394,-0.71981955,-0.76364446,-0.80747074
45,-0.45260015,-0.49642643,-0.5402539,-0.58407927,-0.715558,-0.75938326,-0.8032104
46,-0.4483454,-0.49217194,-0.5359988,-0.57982504,-0.71130323,-0.7551302,-0.7989563
47,-0.44409636,-0.48792294,-0.53175014,-0.5755748,-0.70705444,-0.75087845,-0.79470605
48,-0.43985328,-0.48367873,-0.52750605,-0.57133245,-0.70281154,-0.7466369,-0.7904623
49,-0.4356138,-0.47943926,-0.52326673,-0.5670927,-0.69857097,-0.7423962,-0.78622276
50,-0.43138078,-0.47520673,-0.5190322,-0.56285816,-0.69433767,-0.7381629,-0.7819896
51,-0.42715093,-0.47097728,-0.5148042,-0.55863047,-0.6901082,-0.7339351,-0.7777611
52,-0.42292917,-0.46675545,-0.51058143,-0.55440867,-0.6858864,-0.7297134,-0.77353877
53,-0.41871265,-0.46253702,-0.5063651,-0.55019075,-0.68166864,-0.7254959,-0.76932144
54,-0.4144979,-0.45832446,-0.50215,-0.5459763,-0.6774552,-0.7212814,-0.7651072
55,-0.41029164,-0.45411852,-0.497944,-0.54177046,-0.6732482,-0.7170753,-0.76090133
56,-0.40608907,-0.44991514,-0.49374142,-0.53756857,-0.66904634,-0.7128733,-0.75669795
57,-0.40189314,-0.44571766,-0.48954612,-0.5333716,-0.66485155,-0.7086766,-0.752503
58,-0.3977004,-0.44152728,-0.48535508,-0.5291797,-0.6606578,-0.7044844,-0.74831
59,-0.39351445,-0.4373423,-0.48116702,-0.5249928,-0.6564712,-0.70029724,-0.74412376
60,-0.389332,-0.43315852,-0.47698516,-0.5208122,-0.65228957,-0.6961164,-0.7399424
61,-0.38515714,-0.42898402,-0.47281003,-0.51663613,-0.6481141,-0.69194144,-0.73576695
62,-0.3809856,-0.4248113,-0.46863824,-0.5124641,-0.64394194,-0.6877691,-0.7315948
63,-0.3768209,-0.4206462,-0.46447256,-0.5082984,-0.63977695,-0.6836029,-0.72742987
64,-0.3726593,-0.41648486,-0.4603113,-0.5041372,-0.6356165,-0.67944145,-0.72326875
65,-0.36864328,-0.4123303,-0.45615813,-0.49998185,-0.6314621,-0.67528707,-0.71911526
66,-0.36478418,-0.40817904,-0.45200506,-0.49583274,-0.62731093,-0.67113715,-0.7149635
67,-0.36096266,-0.40403417,-0.44786096,-0.4916876,-0.6231657,-0.6669914,-0.7108178
68,-0.35716236,-0.39989406,-0.44371933,-0.4875453,-0.6190234,-0.6628506,-0.7066776
69,-0.3533644,-0.39575857,-0.43958423,-0.4834111,-0.61489093,-0.6587159,-0.70254153
70,-0.34957156,-0.39162758,-0.43545347,-0.47927952,-0.6107587,-0.6545857,-0.698411
