38.1026,38.2896
38.1018,38.2889
38.1029,38.2991
38.0955,38.2763
38.1036,38.2866
38.0924,38.2775
38.1077,38.2882
38.1092,38.2866
38.0891,38.2539
38.1023,38.2895
38.0956,38.2750
38.1069,38.2850
38.1056,38.2832
38.1142,38.3044
38.1082,38.3014
38.1035,38.2847
38.0951,38.2809
38.1074,38.2927
38.0835,38.2743
38.0995,38.2788
38.0997,38.2828
38.1025,38.2838
38.1094,38.2866
38.1172,38.2839
38.1217,38.3043
38.1056,38.2936
38.1132,38.2861
38.1007,38.2817
38.0940,38.2923
38.1106,38.2972
38.1076,38.2959
38.0935,38.2736
38.1060,38.2818
38.1111,38.2921
38.0933,38.2635
38.1080,38.2816
38.0975,38.2782
38.0927,38.2673
38.0938,38.2790
38.0988,38.2703
38.1019,38.2900
38.1169,38.3037
38.1039,38.2775
38.0958,38.2756
38.0951,38.2792
38.0995,38.2711
38.1084,38.2750
38.1087,38.2742
38.1008,38.2838
38.1084,38.2958
38.1062,38.2893
38.1155,38.2972
