,0,1,2,3,4,5,6
0,-0.3722241,-0.44612417,-0.5200249,-0.5939247,-0.8156268,-0.88952696,-0.96342707
1,-0.36966017,-0.44356063,-0.51746076,-0.591361,-0.8130629,-0.8869628,-0.9608639
2,-0.36709842,-0.44099945,-0.51489973,-0.58880013,-0.8105016,-0.8844019,-0.9583016
3,-0.36454064,-0.43844184,-0.5123416,-0.5862426,-0.8079435,-0.88184375,-0.9557444
4,-0.36198696,-0.43588734,-0.5097882,-0.58368856,-0.8053895,-0.8792903,-0.95319074
5,-0.35943618,-0.43333694,-0.507238,-0.58113813,-0.80283904,-0.8767399,-0.95064044
6,-0.35688907,-0.43078944,-0.50469035,-0.5785906,-0.80029196,-0.87419176,-0.94809264
7,-0.35434562,-0.42824575,-0.5021464,-0.57604676,-0.7977474,-0.8716484,-0.9455496
8,-0.35180396,-0.42570508,-0.4996055,-0.5735049,-0.7952068,-0.8691068,-0.943008
9,-0.34926644,-0.4231668,-0.49706718,-0.57096833,-0.7926694,-0.86657,-0.9404702
10,-0.3467327,-0.42063335,-0.4945336,-0.56843466,-0.79013556,-0.86403614,-0.93793607
11,-0.34420153,-0.4181026,-0.49200222,-0.56590325,-0.7876044,-0.86150503,-0.9354056
12,-0.3416746,-0.41557544,-0.48947516,-0.5633761,-0.78507745,-0.8589775,-0.9328784
13,-0.33915085,-0.4130517,-0.48695186,-0.56085235,-0.7825541,-0.8564537,-0.9303546
14,-0.33663008,-0.4105304,-0.48443067,-0.5583311,-0.7800323,-0.8539328,-0.92783356
15,-0.33411294,-0.40801322,-0.48191348,-0.5558139,-0.7775152,-0.851416,-0.9253163
16,-0.33159882,-0.40549982,-0.47940013,-0.5533,-0.77500236,-0.84890234,-0.922802
17,-0.32908806,-0.40298906,-0.47688863,-0.5507899,-0.7724913,-0.84639126,-0.92029226
18,-0.32658026,-0.40048084,-0.4743808,-0.5482816,-0.7699828,-0.8438833,-0.91778356
19,-0.3240758,-0.39797625,-0.47187704,-0.5457773,-0.7674785,-0.8413789,-0.9152795
20,-0.32157543,-0.39547524,-0.4693759,-0.5432766,-0.76497716,-0.8388785,-0.9127791
