,0,1,2
0,0.8281575,0.8278913,0.8276251
1,0.8305779,0.8303113,0.8300444
2,0.8329945,0.8327291,0.8324626
3,0.83541,0.8351432,0.8348767
4,0.8378205,0.8375542,0.83728755
5,0.8402275,0.83996105,0.8396951
6,0.84263206,0.8423661,0.84209937
7,0.84503335,0.84476703,0.84450066
8,0.8474321,0.8471659,0.84689885
9,0.8498267,0.8495609,0.8492943
10,0.8522186,0.85195285,0.8516863
11,0.854608,0.85434157,0.8540756
12,0.8569933,0.8567275,0.8564608
13,0.8593762,0.85910916,0.8588431
14,0.86175567,0.86148894,0.8612226
15,0.8641319,0.86386484,0.863599
16,0.866504,0.8662376,0.8659713
17,0.8688742,0.8686075,0.8683414
18,0.8712412,0.8709756,0.87070876
19,0.87360513,0.873339,0.8730731
20,0.87596625,0.87569976,0.8754335
21,0.8783235,0.87805724,0.8777912
22,0.88067865,0.8804123,0.88014627
23,0.8830303,0.8827638,0.8824973
24,0.88537896,0.8851123,0.8848457
25,0.88772446,0.887458,0.8871919
26,0.8900668,0.8898,0.8895342
27,0.8924066,0.8921397,0.8918734
28,0.8947423,0.89447594,0.89420944
29,0.89707613,0.89680946,0.89654356
30,0.8994074,0.8991404,0.89887476
31,0.90173405,0.9014673,0.90120125
32,0.9040587,0.90379214,0.90352666
33,0.9063803,0.90611356,0.9058482
34,0.9086992,0.9084331,0.90816665
35,0.91101456,0.9107486,0.91048217
36,0.91332775,0.9130615,0.91279536
37,0.91563684,0.915371,0.9151045
38,0.9179441,0.91767734,0.9174112
39,0.920248,0.91998154,0.91971576
40,0.9225486,0.9222823,0.92201614
41,0.9248472,0.9245805,0.92431396
42,0.92714256,0.9268767,0.9266099
43,0.9294346,0.9291678,0.9289018
44,0.9317245,0.9314574,0.9311908
45,0.9340102,0.9337442,0.93347853
46,0.9362941,0.9360278,0.93576187
47,0.93857473,0.93830866,0.9380423
48,0.9408522,0.94058573,0.9403202
49,0.94312763,0.9428616,0.9425951
50,0.9454006,0.9451338,0.9448673
51,0.94766957,0.9474034,0.947137
52,0.9499356,0.94966954,0.94940287
53,0.9521994,0.9519329,0.95166665
54,0.95446104,0.95419496,0.9539277
55,0.95671874,0.9564519,0.956186
56,0.95897406,0.9587082,0.95844126
57,0.9612259,0.96096015,0.9606936
58,0.9634754,0.96320945,0.96294326
59,0.9657228,0.96545637,0.9651902
60,0.96796775,0.9677012,0.9674345
61,0.9702081,0.96994203,0.9696763
62,0.97244775,0.97218126,0.97191495
63,0.9746837,0.97441685,0.9741507
64,0.9769169,0.97665054,0.97638404
65,0.9791463,0.9788799,0.9786133
66,0.98137385,0.98110783,0.9808413
67,0.983598,0.98333246,0.98306584
68,0.9858214,0.9855549,0.98528844
69,0.9880404,0.9877741,0.98750806
70,0.9902572,0.98999137,0.9897243
71,0.9924713,0.9922048,0.9919389
72,0.99468315,0.99441653,0.99415004
73,0.9968918,0.9966257,0.9963596
74,0.9990975,0.9988309,0.99856424
75,1.001301,1.0010345,1.0007682
76,1.0035009,1.0032345,1.0029687
77,1.0056999,1.0054333,1.0051674
78,1.0078948,1.0076282,1.0073628
79,1.0100878,1.009821,1.0095543
80,1.0122769,1.0120108,1.0117444
81,1.0144655,1.0141995,1.0139325
82,1.0166494,1.0163835,1.0161175
83,1.0188316,1.0185653,1.0182995
84,1.0210112,1.0207448,1.0204788
85,1.0231887,1.0229219,1.0226556
86,1.0253626,1.0250962,1.0248305
87,1.0275345,1.0272679,1.027002
88,1.029703,1.0294372,1.0291705
89,1.0318698,1.0316036,1.0313371
90,1.034033,1.0337675,1.0335006
91,1.0361947,1.0359285,1.0356616
92,1.0383546,1.0380881,1.0378221
93,1.0405104,1.040244,1.0399781
94,1.0426632,1.0423969,1.0421307
95,1.0448151,1.0445482,1.0442823
96,1.0469639,1.0466976,1.0464315
97,1.0491092,1.0488431,1.0485768
98,1.0512532,1.050988,1.0507207
99,1.0533944,1.0531276,1.0528616
100,1.0555326,1.0552661,1.0549997
