,0,1,2,3,4,5,6,7,8
0,-0.26045722,-0.41711807,-0.47733688,-0.53755605,-0.59777474,-0.65799356,-0.8386505,-0.8988697,-0.9590885
1,-0.25972462,-0.41550547,-0.47572455,-0.5359432,-0.5961622,-0.6563811,-0.83703816,-0.8972574,-0.95747614
2,-0.25899258,-0.4138953,-0.47411367,-0.534333,-0.59455216,-0.6547707,-0.83542794,-0.89564717,-0.9558657
3,-0.25826177,-0.4122863,-0.47250533,-0.5327243,-0.5929436,-0.6531625,-0.83381915,-0.89403856,-0.95425755
4,-0.25753203,-0.41068074,-0.4708994,-0.5311184,-0.59133744,-0.6515567,-0.8322136,-0.892432,-0.95265114
5,-0.25680307,-0.40907705,-0.46929556,-0.52951485,-0.58973366,-0.649953,-0.8306095,-0.8908282,-0.9510473
6,-0.25607482,-0.40747532,-0.467694,-0.52791303,-0.58813196,-0.648351,-0.8290077,-0.88922673,-0.949446
7,-0.25534812,-0.4058756,-0.4660943,-0.5263134,-0.58653206,-0.64675134,-0.8274081,-0.887627,-0.94784606
8,-0.254622,-0.40427703,-0.464496,-0.52471554,-0.584934,-0.64515334,-0.82580996,-0.8860286,-0.94624776
9,-0.25389686,-0.40268224,-0.46290046,-0.52311975,-0.58333826,-0.6435572,-0.824215,-0.88443375,-0.94465244
10,-0.25317267,-0.40108857,-0.46130735,-0.52152604,-0.5817452,-0.64196485,-0.822621,-0.88284063,-0.9430597
11,-0.25244942,-0.39949676,-0.4597156,-0.51993513,-0.5801538,-0.6403731,-0.8210298,-0.8812484,-0.94146764
12,-0.25172713,-0.3979075,-0.45812622,-0.5183453,-0.57856447,-0.63878345,-0.8194404,-0.8796592,-0.9398782
13,-0.2510058,-0.39632052,-0.4565395,-0.51675856,-0.57697755,-0.6371969,-0.8178534,-0.87807244,-0.93829143
14,-0.2502856,-0.39473528,-0.4549544,-0.51517355,-0.57539266,-0.63561124,-0.8162684,-0.87648726,-0.936706
15,-0.24956629,-0.39315256,-0.45337123,-0.5135906,-0.5738093,-0.63402873,-0.814685,-0.87490374,-0.93512285
16,-0.24884816,-0.3915721,-0.45179105,-0.51200986,-0.57222813,-0.6324477,-0.81310475,-0.87332314,-0.93354255
17,-0.24813032,-0.38999337,-0.45021167,-0.510431,-0.57065,-0.6308689,-0.8115265,-0.8717447,-0.93196374
18,-0.24741368,-0.38841572,-0.448635,-0.5088533,-0.5690726,-0.6292922,-0.80994844,-0.87016743,-0.9303868
19,-0.24669795,-0.3868409,-0.4470599,-0.5072789,-0.56749797,-0.62771654,-0.80837387,-0.8685928,-0.92881155
20,-0.24598336,-0.38526782,-0.44548747,-0.505706,-0.5659258,-0.6261443,-0.80680084,-0.8670204,-0.92723936
21,-0.2452696,-0.38369775,-0.4439162,-0.50413567,-0.5643545,-0.62457377,-0.8052303,-0.86544895,-0.92566824
22,-0.24455671,-0.38212872,-0.442348,-0.5025668,-0.5627859,-0.62300503,-0.803662,-0.86388123,-0.9240998
23,-0.24384472,-0.3805622,-0.44078147,-0.5010003,-0.56121916,-0.621438,-0.802095,-0.8623145,-0.92253333
24,-0.24313389,-0.3789975,-0.43921643,-0.4994362,-0.5596545,-0.61987394,-0.8005304,-0.8607497,-0.9209686
25,-0.2424236,-0.3774356,-0.4376538,-0.49787292,-0.5580915,-0.6183111,-0.7989674,-0.85918707,-0.9194058
26,-0.24171449,-0.37587455,-0.43609408,-0.4963127,-0.55653167,-0.6167507,-0.7974077,-0.85762614,-0.9178455
27,-0.24100627,-0.3743163,-0.43453524,-0.49475393,-0.554973,-0.615192,-0.7958488,-0.85606796,-0.9162871
28,-0.24029878,-0.37275973,-0.432979,-0.49319795,-0.5534164,-0.613635,-0.7942925,-0.854511,-0.9147303
29,-0.23959248,-0.3712051,-0.43142393,-0.49164298,-0.5518623,-0.61208093,-0.7927374,-0.85295665,-0.91317576
30,-0.23888655,-0.36965236,-0.42987123,-0.49008995,-0.5503095,-0.6105282,-0.79118466,-0.8514037,-0.91162264
31,-0.23818213,-0.3681019,-0.42832106,-0.48854008,-0.5487593,-0.6089783,-0.78963464,-0.8498537,-0.9100727
32,-0.23747832,-0.36655295,-0.4267724,-0.48699126,-0.5472102,-0.60742927,-0.7880858,-0.848305,-0.908524
33,-0.23677543,-0.3650067,-0.4252257,-0.48544443,-0.5456633,-0.6058823,-0.78653955,-0.846759,-0.9069772
34,-0.23607336,-0.36346164,-0.42368078,-0.48389998,-0.54411864,-0.6043378,-0.78499454,-0.84521294,-0.9054323
35,-0.23537241,-0.36191925,-0.42213824,-0.48235703,-0.5425759,-0.6027949,-0.7834517,-0.8436705,-0.9038904
36,-0.23467219,-0.36037835,-0.42059737,-0.48081633,-0.54103565,-0.6012549,-0.7819112,-0.84212965,-0.90234923
37,-0.23397301,-0.35884,-0.41905835,-0.4792781,-0.53949744,-0.59971607,-0.78037274,-0.84059167,-0.9008105
38,-0.23327464,-0.357303,-0.4175221,-0.4777412,-0.5379601,-0.5981792,-0.7788357,-0.83905476,-0.8992741
39,-0.23257689,-0.35576844,-0.41598722,-0.47620615,-0.53642476,-0.59664434,-0.777301,-0.8375195,-0.8977393
40,-0.23188066,-0.35423607,-0.41445476,-0.47467357,-0.5348926,-0.5951112,-0.77576834,-0.83598715,-0.89620614
41,-0.23118477,-0.3527043,-0.41292349,-0.47314233,-0.53336173,-0.5935799,-0.7742375,-0.8344564,-0.8946752
42,-0.23048982,-0.3511749,-0.41139376,-0.47161302,-0.5318325,-0.592051,-0.772708,-0.83292663,-0.8931459
43,-0.22979596,-0.3496481,-0.40986764,-0.4700867,-0.530305,-0.5905243,-0.7711811,-0.83140004,-0.89161915
44,-0.22910273,-0.34812298,-0.40834203,-0.46856093,-0.5287797,-0.5889992,-0.7696557,-0.82987446,-0.89009327
45,-0.22841038,-0.34659943,-0.40681866,-0.46703753,-0.5272563,-0.5874756,-0.7681323,-0.8283511,-0.88857
46,-0.2277192,-0.3450785,-0.40529746,-0.4655164,-0.52573544,-0.5859542,-0.7666113,-0.8268295,-0.8870491
47,-0.22702849,-0.34355935,-0.40377802,-0.46399686,-0.52421576,-0.5844346,-0.76509154,-0.82531106,-0.8855294
48,-0.22633907,-0.34204212,-0.40226072,-0.4624796,-0.5226987,-0.5829178,-0.76357436,-0.8237939,-0.88401234
49,-0.22565018,-0.34052554,-0.40074486,-0.46096376,-0.5211825,-0.58140194,-0.76205903,-0.8222776,-0.8824966
50,-0.22496228,-0.33901224,-0.39923105,-0.45944974,-0.51966876,-0.5798882,-0.76054496,-0.82076365,-0.8809823
51,-0.22427517,-0.33750027,-0.39771923,-0.4579382,-0.51815695,-0.57837605,-0.75903326,-0.8192518,-0.8794708
52,-0.2235893,-0.33599028,-0.3962093,-0.45642832,-0.5166473,-0.57686675,-0.7575235,-0.8177421,-0.87796116
53,-0.22290358,-0.33448324,-0.39470145,-0.45492065,-0.51513994,-0.5753584,-0.75601596,-0.8162344,-0.87645364
54,-0.22221917,-0.33297575,-0.3931949,-0.45341375,-0.51363266,-0.5738519,-0.7545088,-0.8147279,-0.8749468
55,-0.22153573,-0.3314723,-0.3916906,-0.45191017,-0.51212907,-0.5723478,-0.7530046,-0.81322366,-0.8734429
56,-0.2208527,-0.32996917,-0.39018852,-0.45040694,-0.5106266,-0.5708456,-0.751502,-0.8117212,-0.8719401
57,-0.22017102,-0.32846895,-0.38868776,-0.44890693,-0.5091254,-0.569345,-0.75000143,-0.8102207,-0.8704394
58,-0.2194898,-0.32696992,-0.3871889,-0.44740823,-0.5076275,-0.5678465,-0.74850285,-0.80872184,-0.86894083
59,-0.21880952,-0.32547298,-0.38569257,-0.44591153,-0.5061305,-0.5663492,-0.74700594,-0.8072245,-0.86744356
60,-0.2181303,-0.32397798,-0.38419685,-0.44441608,-0.50463516,-0.56485385,-0.74551123,-0.8057297,-0.865949
61,-0.21745166,-0.32248488,-0.38270417,-0.44292298,-0.5031425,-0.56336135,-0.7440181,-0.8042369,-0.8644555
62,-0.21677369,-0.32099357,-0.38121226,-0.44143152,-0.50165015,-0.5618694,-0.74252653,-0.8027452,-0.8629638
63,-0.21609704,-0.31950346,-0.379723,-0.43994173,-0.5001605,-0.56037956,-0.74103665,-0.8012555,-0.8614746
64,-0.21542071,-0.31801626,-0.37823543,-0.43845448,-0.49867335,-0.55889237,-0.7395492,-0.7997682,-0.859987
65,-0.21474572,-0.3165311,-0.37675002,-0.43696892,-0.4971879,-0.5574064,-0.7380635,-0.79828304,-0.8585014
66,-0.2141027,-0.31504688,-0.37526554,-0.4354844,-0.4957036,-0.5559225,-0.7365792,-0.79679877,-0.8570174
67,-0.21349996,-0.31356484,-0.37378383,-0.43400288,-0.49422184,-0.55444056,-0.73509765,-0.79531676,-0.85553557
68,-0.21289758,-0.3120836,-0.3723025,-0.43252194,-0.49274096,-0.55295944,-0.7336164,-0.79383534,-0.85405433
69,-0.21229613,-0.31060532,-0.37082502,-0.43104404,-0.49126226,-0.5514812,-0.73213786,-0.7923574,-0.8525765
