,0,1,2,3
0,0.81753767,0.816634,0.8163327,0.8160313
1,0.82015073,0.81924707,0.8189453,0.8186446
2,0.82276106,0.8218578,0.8215561,0.821255
3,0.82536805,0.82446426,0.8241628,0.82386166
4,0.82797056,0.8270685,0.8267664,0.82646513
5,0.83056974,0.8296667,0.82936597,0.82906395
6,0.8331669,0.8322628,0.8319614,0.83166015
7,0.8357589,0.83485526,0.8345548,0.83425343
8,0.8383492,0.8374457,0.8371443,0.8368429
9,0.8409354,0.8400316,0.8397304,0.8394292
10,0.84351784,0.84261394,0.8423136,0.8420114
11,0.84609747,0.8451937,0.84489226,0.84459156
12,0.8486732,0.8477696,0.8474687,0.8471674
13,0.8512453,0.8503416,0.850041,0.8497389
14,0.8538142,0.8529111,0.8526101,0.8523085
15,0.8563798,0.8554763,0.8551755,0.8548742
16,0.85894215,0.85803896,0.85773695,0.857436
17,0.8615008,0.86059743,0.86029685,0.85999554
18,0.8640574,0.86315423,0.8628525,0.86255157
19,0.8666099,0.8657056,0.86540467,0.8651035
20,0.8691585,0.86825466,0.8679539,0.8676524
21,0.87170446,0.8708007,0.8704997,0.8701982
22,0.87424666,0.8733439,0.87304175,0.8727411
23,0.8767866,0.8758824,0.8755815,0.8752797
24,0.8793217,0.87841797,0.8781166,0.87781614
25,0.8818544,0.88095087,0.88065,0.88034856
26,0.88438356,0.88347995,0.88317883,0.8828776
27,0.88690984,0.8860061,0.8857054,0.8854037
28,0.8894326,0.8885287,0.8882276,0.8879267
29,0.89195263,0.89104825,0.8907468,0.8904462
30,0.8944688,0.8935656,0.8932644,0.89296263
31,0.89698154,0.8960776,0.8957772,0.8954755
32,0.89949185,0.898588,0.898287,0.89798576
33,0.9019982,0.9010945,0.90079343,0.9004925
34,0.90450245,0.90359837,0.9032975,0.9029962
35,0.9070023,0.9060988,0.90579754,0.90549684
36,0.90950024,0.9085965,0.9082953,0.90799344
37,0.91199344,0.91108954,0.9107882,0.910487
38,0.9144842,0.91358066,0.9132791,0.912978
39,0.91697216,0.91606826,0.91576713,0.9154661
40,0.9194563,0.9185531,0.9182517,0.91795045
41,0.92193776,0.9210338,0.92073286,0.9204313
42,0.9244163,0.9235123,0.9232116,0.92291045
43,0.92689097,0.92598784,0.9256866,0.92538536
44,0.92936265,0.9284597,0.92815876,0.92785686
45,0.9318321,0.9309291,0.9306273,0.9303266
46,0.93429744,0.9333944,0.93309253,0.9327922
47,0.9367602,0.9358569,0.9355553,0.9352544
48,0.9392194,0.9383159,0.938015,0.9377137
49,0.9416766,0.94077283,0.9404721,0.9401702
50,0.94413036,0.94322556,0.9429248,0.94262326
51,0.94658,0.9456773,0.9453759,0.9450742
52,0.9490272,0.9481239,0.9478228,0.9475214
53,0.95147115,0.9505677,0.9502662,0.94996476
54,0.9539137,0.95300937,0.95270854,0.9524071
55,0.95635134,0.95544684,0.95514584,0.95484453
56,0.9587864,0.95788264,0.9575818,0.95728093
57,0.9612186,0.9603146,0.9600139,0.9597123
58,0.9636469,0.9627436,0.96244216,0.96214116
59,0.9660733,0.96516997,0.96486855,0.9645672
60,0.96849644,0.9675931,0.9672921,0.96699077
61,0.97091633,0.9700128,0.9697121,0.96941066
62,0.9733345,0.97243005,0.97212934,0.9718276
63,0.9757488,0.9748449,0.9745432,0.9742424
64,0.9781594,0.97725576,0.97695434,0.9766536
65,0.98056704,0.979663,0.9793624,0.9790604
66,0.982973,0.98206896,0.9817672,0.9814666
67,0.9853746,0.98447096,0.98416984,0.98386866
68,0.9877747,0.9868709,0.9865705,0.98626816
69,0.9901714,0.9892668,0.98896575,0.9886648
70,0.9925639,0.99166006,0.9913597,0.99105763
71,0.9949547,0.99405074,0.99375063,0.9934497
72,0.997343,0.9964395,0.9961382,0.9958369
73,0.9997281,0.99882394,0.9985232,0.99822193
74,1.0021092,1.0012058,1.0009049,1.000603
75,1.0044886,1.0035851,1.0032837,1.0029826
76,1.0068644,1.005961,1.00566,1.0053592
77,1.0092379,1.0083349,1.0080334,1.0077323
78,1.0116084,1.010705,1.0104041,1.0101022
79,1.0139759,1.013072,1.0127708,1.0124687
80,1.0163406,1.0154368,1.0151355,1.014834
81,1.018702,1.017799,1.0174979,1.0171965
82,1.0210611,1.0201576,1.0198566,1.0195554
83,1.0234175,1.022514,1.0222123,1.0219114
84,1.0257709,1.0248674,1.0245659,1.0242653
85,1.028121,1.0272176,1.0269165,1.0266156
86,1.0304694,1.0295659,1.0292641,1.0289629
87,1.0328139,1.0319107,1.0316092,1.0313072
88,1.035156,1.034252,1.0339514,1.0336504
89,1.0374948,1.0365914,1.0362905,1.0359888
90,1.039831,1.0389272,1.0386268,1.0383259
91,1.0421646,1.0412623,1.0409606,1.0406597
92,1.0444968,1.0435932,1.0432917,1.0429909
93,1.0468254,1.0459216,1.0456198,1.0453186
94,1.04915,1.0482465,1.0479456,1.0476446
95,1.0514722,1.0505688,1.0502677,1.0499665
96,1.0537932,1.0528893,1.0525882,1.0522872
97,1.0561099,1.0552063,1.0549052,1.0546037
98,1.0584241,1.0575217,1.0572199,1.0569181
99,1.0607358,1.0598317,1.0595309,1.0592299
100,1.0630455,1.0621413,1.0618405,1.0615395
