,0,1,2,3,4,5,6,7
0,-0.32228762,-0.39289585,-0.46350414,-0.53411204,-0.6047196,-0.81654346,-0.88715106,-0.9573605
1,-0.32020226,-0.3908107,-0.46141922,-0.5320265,-0.60263497,-0.81445897,-0.88506645,-0.95534086
2,-0.31812015,-0.38872784,-0.45933565,-0.52994376,-0.6005519,-0.8123759,-0.8829841,-0.95332307
3,-0.31603977,-0.38664824,-0.45725673,-0.5278645,-0.5984726,-0.8102967,-0.8809045,-0.9513088
4,-0.31396362,-0.3845712,-0.4551794,-0.5257877,-0.59639597,-0.80821985,-0.8788279,-0.9492972
5,-0.31188983,-0.38249826,-0.45310575,-0.52371424,-0.5943222,-0.80614525,-0.87675375,-0.9472883
6,-0.3098185,-0.3804272,-0.4510354,-0.5216422,-0.59225,-0.8040743,-0.87468237,-0.94528174
7,-0.3077498,-0.3783581,-0.44896573,-0.5195739,-0.5901821,-0.80200595,-0.87261367,-0.94322157
8,-0.3056836,-0.37629125,-0.44689935,-0.51750785,-0.5881161,-0.79993933,-0.8705475,-0.94115573
9,-0.30362043,-0.37422815,-0.44483677,-0.515445,-0.5860525,-0.79787624,-0.8684847,-0.939092
10,-0.30156034,-0.37216842,-0.4427762,-0.5133844,-0.5839922,-0.7958162,-0.8664246,-0.93703234
11,-0.29950243,-0.3701097,-0.44071823,-0.51132613,-0.58193403,-0.79375815,-0.8643659,-0.93497413
12,-0.29744774,-0.36805505,-0.43866295,-0.50927126,-0.57987916,-0.79170305,-0.862311,-0.93291956
13,-0.29539564,-0.36600345,-0.4366114,-0.50721925,-0.57782686,-0.7896503,-0.8602591,-0.93086684
14,-0.29334566,-0.36395353,-0.43456116,-0.50516933,-0.5757771,-0.78760123,-0.85820895,-0.928817
15,-0.29129857,-0.36190653,-0.43251452,-0.5031227,-0.5737304,-0.7855545,-0.8561627,-0.92677015
16,-0.28925434,-0.3598631,-0.4304708,-0.5010788,-0.5716864,-0.78351045,-0.8541191,-0.92472607
17,-0.28721336,-0.3578211,-0.4284294,-0.49903697,-0.569645,-0.781469,-0.85207677,-0.9226846
18,-0.28517324,-0.35578173,-0.4263896,-0.49699783,-0.5676052,-0.77942926,-0.85003763,-0.920645
19,-0.28313774,-0.35374534,-0.42435297,-0.49496165,-0.5655688,-0.77739304,-0.8480008,-0.9186087
20,-0.2811036,-0.35171184,-0.42232028,-0.49292812,-0.56353575,-0.77536,-0.8459685,-0.916575
21,-0.2790729,-0.34968045,-0.4202883,-0.4908964,-0.5615044,-0.77332836,-0.84393656,-0.9145451
22,-0.27704415,-0.34765255,-0.41826043,-0.4888683,-0.55947626,-0.77129984,-0.84190863,-0.91251636
23,-0.27501875,-0.34562674,-0.41623455,-0.4868429,-0.55745023,-0.76927423,-0.83988243,-0.9104902
24,-0.27299598,-0.343603,-0.41421154,-0.4848194,-0.55542725,-0.767251,-0.8378599,-0.90846735
25,-0.2709746,-0.34158313,-0.41219082,-0.48279858,-0.55340666,-0.76523083,-0.8358388,-0.9064469
26,-0.26895687,-0.33956486,-0.41017345,-0.48078108,-0.5513892,-0.76321286,-0.8338206,-0.9044289
27,-0.26694125,-0.3375498,-0.40815774,-0.47876623,-0.5493737,-0.7611973,-0.8318058,-0.90241337
28,-0.26492912,-0.33553678,-0.4061449,-0.47675344,-0.5473607,-0.7591849,-0.829793,-0.9004009
29,-0.26291928,-0.3335269,-0.4041347,-0.4747425,-0.5453504,-0.75717413,-0.8277828,-0.89838994
30,-0.26091093,-0.33151865,-0.40212741,-0.47273445,-0.543342,-0.7551666,-0.82577443,-0.89638305
31,-0.25890675,-0.32951468,-0.4001227,-0.4707306,-0.5413386,-0.7531624,-0.8237702,-0.89437777
32,-0.256904,-0.327512,-0.39811954,-0.46872783,-0.5393353,-0.7511591,-0.82176757,-0.8923751
33,-0.25490358,-0.32551196,-0.39611977,-0.46672815,-0.53733563,-0.74915963,-0.81976795,-0.8903755
34,-0.25290605,-0.32351455,-0.3941218,-0.46472996,-0.535338,-0.74716175,-0.8177701,-0.88837785
35,-0.2509118,-0.32151994,-0.39212793,-0.46273616,-0.53334314,-0.74516773,-0.8157755,-0.88638335
36,-0.24891905,-0.31952685,-0.3901355,-0.46074346,-0.531351,-0.7431753,-0.8137831,-0.8843912
37,-0.24692982,-0.31753746,-0.38814595,-0.45875385,-0.52936196,-0.7411857,-0.811794,-0.8824022
38,-0.2449424,-0.3155511,-0.38615873,-0.45676672,-0.52737486,-0.73919904,-0.8098069,-0.8804146
39,-0.24295765,-0.31356552,-0.38417378,-0.4547814,-0.5253901,-0.7372141,-0.8078216,-0.8784297
40,-0.24097559,-0.31158382,-0.38219213,-0.45280027,-0.523408,-0.73523194,-0.80583996,-0.876448
41,-0.23899594,-0.30960447,-0.3802122,-0.45081994,-0.5214282,-0.733252,-0.80386066,-0.8744681
42,-0.23701854,-0.30762693,-0.37823468,-0.44884238,-0.5194506,-0.7312745,-0.8018824,-0.87249064
43,-0.2350444,-0.30565244,-0.37626037,-0.44686848,-0.5174767,-0.72930056,-0.7999082,-0.87051594
44,-0.23307207,-0.3036799,-0.37428802,-0.4448957,-0.51550424,-0.72732794,-0.7979361,-0.86854416
45,-0.23110239,-0.30171034,-0.37231803,-0.44292593,-0.51353455,-0.725358,-0.79596615,-0.86657363
