,0,1,2,3,4,5
0,-0.45674446,-0.5197752,-0.5828069,-0.83272034,-0.91864836,-1.0036917
1,-0.4544993,-0.51752985,-0.58056176,-0.82954127,-0.9154684,-1.0005767
2,-0.45225647,-0.5152873,-0.57831806,-0.82636625,-0.91229343,-0.99746656
3,-0.45001608,-0.51304764,-0.5760788,-0.8231936,-0.9091219,-0.9943599
4,-0.4477801,-0.5108109,-0.57384205,-0.8200273,-0.90595526,-0.9912581
5,-0.44554636,-0.50857806,-0.5716089,-0.81686443,-0.90279216,-0.9881606
6,-0.44331542,-0.50634646,-0.56937814,-0.813706,-0.89963335,-0.98506767
7,-0.44108817,-0.5041192,-0.5671507,-0.8105512,-0.89647835,-0.9819773
8,-0.4388617,-0.5018938,-0.5649256,-0.8073998,-0.89332795,-0.9788913
9,-0.43664047,-0.49967167,-0.5627029,-0.8042535,-0.8901816,-0.975809
10,-0.4344219,-0.4974528,-0.5604843,-0.80111206,-0.88704073,-0.9727313
11,-0.43220568,-0.49523616,-0.5582676,-0.79797465,-0.8839017,-0.96965677
12,-0.4299928,-0.4930243,-0.55605435,-0.7948393,-0.88076854,-0.9665885
13,-0.42778212,-0.49081418,-0.5538453,-0.7917102,-0.87763834,-0.96352327
14,-0.42557496,-0.4886063,-0.5516372,-0.78858453,-0.8745124,-0.96044075
15,-0.42337018,-0.48640135,-0.54943275,-0.7854634,-0.87139106,-0.95731974
16,-0.42116925,-0.4841997,-0.5472315,-0.78234714,-0.868274,-0.954202
17,-0.41897017,-0.48200127,-0.5450328,-0.7792333,-0.86516124,-0.95108914
18,-0.41677365,-0.4798048,-0.5428365,-0.77612334,-0.86205125,-0.94797915
19,-0.41458106,-0.47761205,-0.5406432,-0.7730182,-0.85894567,-0.94487387
20,-0.4123906,-0.47542253,-0.5384533,-0.76991695,-0.8558457,-0.941773
21,-0.41020325,-0.47323474,-0.5362655,-0.7668193,-0.8527474,-0.93867576
22,-0.4080191,-0.47105038,-0.53408104,-0.7637261,-0.84965414,-0.9355824
23,-0.40583757,-0.46886864,-0.5319002,-0.76063704,-0.84656495,-0.93249345
24,-0.4036585,-0.46668953,-0.5297215,-0.7575528,-0.8434803,-0.92940784
25,-0.401482,-0.46451378,-0.5275456,-0.754471,-0.8403991,-0.9263268
26,-0.3993092,-0.4623403,-0.5253719,-0.75139356,-0.83732086,-0.9232495
27,-0.39713904,-0.46017036,-0.5232011,-0.74831986,-0.8342493,-0.92017734
28,-0.39497095,-0.45800245,-0.521034,-0.74525124,-0.8311798,-0.9171062
29,-0.39280662,-0.45583737,-0.5188689,-0.7421854,-0.82811373,-0.9140412
30,-0.39064357,-0.4536746,-0.5167065,-0.73912334,-0.82505137,-0.91097957
31,-0.38848573,-0.4515165,-0.5145477,-0.7360669,-0.8219952,-0.9079227
32,-0.38632792,-0.44935912,-0.51239043,-0.7330137,-0.8189415,-0.90486866
33,-0.3841745,-0.44720554,-0.51023716,-0.7299625,-0.81589097,-0.90181875
34,-0.38202313,-0.4450544,-0.5080855,-0.7269168,-0.8128447,-0.8987725
35,-0.37987465,-0.44290596,-0.5059375,-0.72387457,-0.8098034,-0.8957314
36,-0.37772933,-0.44076118,-0.50379217,-0.7208368,-0.8067647,-0.8926928
37,-0.3755864,-0.43861791,-0.5016501,-0.71780306,-0.8037315,-0.8896595
38,-0.37344626,-0.43647832,-0.49950922,-0.71477216,-0.8007004,-0.8866289
39,-0.37130904,-0.43434054,-0.49737152,-0.71174586,-0.7976734,-0.8836019
40,-0.36917454,-0.4322061,-0.4952369,-0.7087231,-0.79465204,-0.8805805
41,-0.36704206,-0.43007424,-0.49310523,-0.70570517,-0.79163307,-0.8775611
42,-0.36491272,-0.42794418,-0.49097523,-0.70268905,-0.7886176,-0.8745456
43,-0.36278668,-0.42581773,-0.48884898,-0.69967794,-0.7856065,-0.871534
44,-0.3606627,-0.423694,-0.48672524,-0.6966714,-0.7825996,-0.8685267
45,-0.3585408,-0.42157215,-0.4846032,-0.6936669,-0.7795944,-0.8655219
46,-0.35642254,-0.41945395,-0.48248494,-0.6906668,-0.77659565,-0.8625229
47,-0.35430658,-0.41733775,-0.48036882,-0.6876707,-0.77359784,-0.8595266
48,-0.3521941,-0.41522512,-0.47825631,-0.68467915,-0.7706073,-0.85653585
49,-0.35008314,-0.41311404,-0.47614494,-0.6816899,-0.7676178,-0.85354596
50,-0.34797463,-0.411006,-0.4740369,-0.6787056,-0.7646328,-0.85056067
51,-0.34586918,-0.4089001,-0.47193155,-0.6757234,-0.76165193,-0.8475799
52,-0.34376696,-0.4067981,-0.4698292,-0.6727475,-0.75867414,-0.8446028
53,-0.34166652,-0.4046983,-0.46772924,-0.66977346,-0.75570124,-0.84162974
54,-0.3395688,-0.40260014,-0.465631,-0.66680247,-0.75273085,-0.8386582
55,-0.33747396,-0.40050572,-0.4635373,-0.66383755,-0.7497645,-0.8356931
56,-0.33538172,-0.39841297,-0.46144387,-0.6608731,-0.74680215,-0.83273
57,-0.33329204,-0.3963241,-0.45935467,-0.6579156,-0.743843,-0.8297708
58,-0.33120525,-0.39423662,-0.45726743,-0.65496,-0.7408878,-0.826816
59,-0.32912055,-0.3921519,-0.4551832,-0.6520078,-0.7379361,-0.82386357
60,-0.3270668,-0.39007002,-0.45310083,-0.6490591,-0.7349885,-0.8209162
61,-0.3253314,-0.38799113,-0.4510223,-0.646116,-0.7320436,-0.81797165
