,0,1,2,3,4,5
0,0.75132793,0.7510124,0.75069886,0.74975365,0.74943984,0.7491251
1,0.7545127,0.75419754,0.75388294,0.75293833,0.7526241,0.75230926
2,0.75769377,0.7573795,0.75706434,0.7561202,0.7558049,0.7554912
3,0.76086986,0.7605563,0.7602412,0.75929654,0.75898254,0.75866765
4,0.764043,0.7637276,0.7634129,0.76246834,0.7621541,0.7618396
5,0.7672093,0.7668957,0.76658106,0.7656369,0.7653221,0.7650068
6,0.7703745,0.77005965,0.7697445,0.7688005,0.76848525,0.7681713
7,0.773534,0.7732184,0.7729046,0.7719605,0.7716456,0.77133036
8,0.7766892,0.77637553,0.7760608,0.77511597,0.7748014,0.77448726
9,0.77984196,0.7795259,0.7792125,0.7782684,0.77795345,0.7776386
10,0.7829886,0.78267425,0.78235877,0.7814154,0.7811006,0.7807857
11,0.78613174,0.7858176,0.7855024,0.784558,0.7842438,0.7839292
12,0.7892712,0.78895646,0.7886415,0.78769875,0.7873828,0.7870682
13,0.79240566,0.7920913,0.791776,0.79083216,0.7905176,0.7902026
14,0.7955365,0.79522204,0.794907,0.79396373,0.7936489,0.7933339
15,0.7986638,0.798349,0.7980337,0.7970901,0.79677504,0.79646045
16,0.80178577,0.80147064,0.8011558,0.80021155,0.7998967,0.7995823
17,0.80490416,0.80458975,0.804274,0.8033299,0.80301523,0.8027009
18,0.8080191,0.8077043,0.80738926,0.8064453,0.80613077,0.8058161
19,0.8111298,0.8108155,0.8105006,0.80955625,0.80924106,0.8089262
20,0.8142352,0.8139206,0.8136059,0.81266254,0.8123479,0.8120317
21,0.8173377,0.8170241,0.8167085,0.81576437,0.8154498,0.81513524
22,0.8204358,0.820122,0.8198068,0.81886303,0.81854814,0.81823283
23,0.8235304,0.8232163,0.8229018,0.82195705,0.8216435,0.8213275
24,0.8266208,0.8263061,0.8259909,0.8250469,0.82473224,0.82441825
25,0.82970876,0.82939285,0.82907736,0.82813394,0.82781905,0.8275042
26,0.8327896,0.8324756,0.8321604,0.83121663,0.830901,0.83058614
27,0.8358675,0.8355532,0.83523893,0.83429456,0.8339799,0.8336647
28,0.83894247,0.8386276,0.8383138,0.8373687,0.8370547,0.8367398
29,0.842014,0.8416988,0.8413839,0.84043896,0.84012467,0.83981013
30,0.8450806,0.8447657,0.8444506,0.8435066,0.8431922,0.842877
31,0.8481418,0.8478274,0.8475126,0.8465688,0.8462534,0.8459387
32,0.8512012,0.8508862,0.85057205,0.84962726,0.8493136,0.8489982
33,0.85425526,0.85394084,0.85362625,0.85268223,0.8523677,0.85205245
34,0.85730726,0.8569919,0.8566778,0.85573363,0.8554189,0.85510385
35,0.86035395,0.86003923,0.85972476,0.8587806,0.85846466,0.8581513
36,0.86339754,0.8630829,0.86276835,0.8618241,0.8615098,0.8611943
37,0.8664359,0.8661212,0.865807,0.8648631,0.8645483,0.86423296
38,0.8694712,0.8691559,0.86884147,0.86789817,0.86758304,0.86726874
39,0.87250304,0.8721891,0.87187386,0.8709303,0.87061435,0.87030035
40,0.87553036,0.8752156,0.87490237,0.8739566,0.8736421,0.8733272
41,0.878554,0.8782407,0.87792504,0.87698054,0.8766665,0.87635165
42,0.8815751,0.8812604,0.8809455,0.88000244,0.879687,0.87937266
43,0.8845909,0.88427603,0.8839608,0.8830175,0.8827028,0.8823878
44,0.8876038,0.8872882,0.88697547,0.8860301,0.8857158,0.88540035
45,0.8906126,0.89029807,0.8899836,0.8890389,0.88872457,0.88840973
46,0.8936174,0.8933022,0.8929879,0.8920437,0.89172924,0.8914151
47,0.89661855,0.8963042,0.89598906,0.8950445,0.89472955,0.894416
48,0.8996158,0.89930016,0.8989855,0.8980416,0.89772666,0.89741266
49,0.9026094,0.902294,0.9019807,0.90103596,0.9007219,0.90040624
50,0.9055994,0.9052847,0.90496916,0.9040258,0.90371126,0.9033961
51,0.90858537,0.90827066,0.9079569,0.9070115,0.9066975,0.9063831
52,0.91156733,0.9112528,0.9109375,0.90999407,0.90967876,0.9093638
53,0.9145464,0.9142307,0.9139162,0.9129718,0.9126577,0.91234267
54,0.91752213,0.9172065,0.9168929,0.91594785,0.91563404,0.91531914
55,0.9204919,0.92017746,0.91986215,0.91891897,0.9186033,0.91828865
56,0.92345935,0.92314494,0.92283094,0.92188674,0.9215714,0.9212569
57,0.9264231,0.9261095,0.92579323,0.92484975,0.9245357,0.9242207
58,0.929384,0.9290695,0.92875457,0.92781067,0.9274952,0.9271809
59,0.932341,0.9320257,0.93171126,0.93076706,0.93045247,0.9301366
60,0.9352938,0.9349793,0.9346641,0.9337203,0.9334057,0.93309087
61,0.938243,0.9379276,0.9376134,0.9366699,0.9363539,0.9360399
62,0.9411888,0.940874,0.94055915,0.93961513,0.9393003,0.9389863
63,0.944131,0.94381565,0.9435017,0.94255733,0.94224226,0.9419281
64,0.94707114,0.94675416,0.9464401,0.9454953,0.94517994,0.944867
65,0.9500029,0.94968873,0.94937384,0.9484293,0.94811463,0.94780046
66,0.9529341,0.9526201,0.9523063,0.95136106,0.95104784,0.9507315
67,0.95586103,0.9555472,0.9552323,0.9542871,0.9539735,0.95365894
68,0.9587872,0.9584721,0.9581576,0.9572133,0.95689833,0.9565842
69,0.9617072,0.96139187,0.96107674,0.9601336,0.9598186,0.9595043
70,0.9646241,0.9643086,0.963994,0.96305037,0.96273565,0.9624199
71,0.96753746,0.9672228,0.9669072,0.96596414,0.9656491,0.96533376
72,0.9704465,0.9701317,0.9698176,0.9688736,0.9685575,0.9682402
