,0,1
0,-0.94368666,-0.99628466
1,-0.9388005,-0.9925856
2,-0.93391937,-0.98866224
3,-0.9290431,-0.98429215
4,-0.92405176,-0.97980744
5,-0.9190672,-0.9751407
6,-0.91408986,-0.9702864
7,-0.90911925,-0.9654388
8,-0.90415406,-0.9605973
9,-0.89919597,-0.95576286
10,-0.8942457,-0.95093375
11,-0.88929987,-0.94611067
12,-0.8843608,-0.9412216
13,-0.879429,-0.9362921
14,-0.87450284,-0.9313655
15,-0.86958516,-0.9264456
16,-0.8646731,-0.9215335
17,-0.8597668,-0.91662925
18,-0.85486645,-0.91172767
19,-0.8499734,-0.9068343
20,-0.84508514,-0.90194786
21,-0.84020495,-0.8970652
22,-0.8353314,-0.89219266
23,-0.8304626,-0.8873238
24,-0.8256011,-0.8824624
25,-0.8207441,-0.87760574
26,-0.8158959,-0.87275803
27,-0.8110529,-0.86791325
28,-0.80621713,-0.86307615
29,-0.8013855,-0.85824746
30,-0.7965585,-0.8534203
31,-0.79174227,-0.8486048
32,-0.7869309,-0.84379107
33,-0.78212416,-0.8389858
34,-0.7773243,-0.83418447
35,-0.77252966,-0.8293932
36,-0.76774377,-0.8246037
37,-0.7629604,-0.8198231
38,-0.7581878,-0.81504834
39,-0.75341743,-0.81027794
40,-0.74865437,-0.8055156
41,-0.743896,-0.80075675
42,-0.73914605,-0.7960062
43,-0.7343997,-0.79126084
44,-0.7296599,-0.78652143
45,-0.72492665,-0.7817878
46,-0.72020054,-0.7770612
47,-0.7154781,-0.77233845
48,-0.7107646,-0.7676225
49,-0.7060534,-0.76291424
50,-0.70134926,-0.7582124
51,-0.6966503,-0.7535118
52,-0.69196033,-0.74882156
53,-0.6872739,-0.7441364
54,-0.6825932,-0.7394533
55,-0.6779198,-0.7347806
56,-0.6732494,-0.7301111
57,-0.668587,-0.72544885
58,-0.6639302,-0.72079253
59,-0.6592789,-0.7161402
60,-0.6546341,-0.7114953
61,-0.6499943,-0.7068536
62,-0.64535886,-0.70221984
63,-0.64073014,-0.69759214
64,-0.6361068,-0.6929677
65,-0.6314912,-0.6883531
66,-0.6268779,-0.68373954
67,-0.6222743,-0.6791355
68,-0.6176731,-0.6745353
69,-0.61307865,-0.66994035
70,-0.6084902,-0.66535085
71,-0.6039055,-0.6607687
72,-0.59932625,-0.6561896
73,-0.594756,-0.6516164
74,-0.5901903,-0.64705145
75,-0.5856278,-0.6424892
76,-0.5810744,-0.6379342
77,-0.57652074,-0.6333822
78,-0.5719771,-0.6288386
79,-0.5674402,-0.6243007
80,-0.56290686,-0.61976683
81,-0.55837625,-0.615238
82,-0.5538538,-0.6107156
83,-0.54933673,-0.6061977
84,-0.5448255,-0.6016869
85,-0.5403193,-0.5971817
86,-0.53581744,-0.59267986
87,-0.53132224,-0.5881842
88,-0.52683276,-0.5836939
89,-0.52234834,-0.57920873
90,-0.51786804,-0.5747292
91,-0.5133938,-0.5702536
92,-0.50892395,-0.56578493
93,-0.50446,-0.5613219
94,-0.50000274,-0.5568631
95,-0.49554968,-0.5524106
96,-0.491101,-0.54796106
97,-0.48665988,-0.54352003
98,-0.48222104,-0.5390819
99,-0.47779045,-0.5346524
100,-0.47336158,-0.53022456
