,0,1
0,0.13085727,0.16151984
1,0.14646876,0.17713311
2,0.16206007,0.19272445
3,0.17762965,0.20829466
4,0.19317566,0.22384109
5,0.20870338,0.23936623
6,0.22421059,0.2548733
7,0.23969576,0.27036005
8,0.25516766,0.2858302
9,0.27061403,0.30127728
10,0.28603834,0.31670094
11,0.30144617,0.33210912
12,0.31683114,0.34749568
13,0.33219343,0.36285695
14,0.34754,0.3782026
15,0.36286375,0.39352852
16,0.3781657,0.40882877
17,0.39345205,0.4241165
18,0.4087171,0.4393817
19,0.42396575,0.45463064
20,0.43918738,0.4698501
21,0.45439565,0.48505715
22,0.4695821,0.50024056
23,0.4847462,0.51541185
24,0.49989435,0.5305562
25,0.51502085,0.54568505
26,0.5301283,0.56079274
27,0.5452173,0.5758777
28,0.56028277,0.5909463
29,0.57533526,0.6059941
30,0.5903662,0.6209287
31,0.60537297,0.63551265
32,0.6203673,0.6500841
33,0.63492817,0.6646314
34,0.6494639,0.67917085
35,0.66397333,0.69296086
36,0.6784694,0.70657337
37,0.6923076,0.71998197
38,0.705887,0.73288804
39,0.7193841,0.74538434
40,0.7323039,0.7570095
41,0.7448237,0.76850003
42,0.75647515,0.7799783
43,0.7679377,0.7914411
44,0.7793857,0.80286974
45,0.7908213,0.8132046
46,0.80223846,0.82285494
47,0.8125976,0.83232605
48,0.82235235,0.8416178
49,0.8318605,0.8509012
50,0.84113026,0.8601072
51,0.8503895,0.86871934
52,0.8596029,0.87732065
53,0.8681928,0.88590956
54,0.87677425,0.89449024
55,0.8853418,0.9030579
56,0.8938997,0.91161805
57,0.90244675,0.9199369
58,0.91098493,0.9274653
59,0.91939527,0.93481773
60,0.9269632,0.9414897
61,0.934305,0.9474754
62,0.94103813,0.9534572
63,0.94701064,0.95942944
64,0.9529741,0.96539307
65,0.9589303,0.9713497
66,0.9648811,0.97729963
67,0.9708234,0.9832422
68,0.97676104,0.98917925
69,0.9826885,0.99510795
70,0.98860985,1.001028
71,0.9945245,1.0069425
72,1.000431,1.0128497
73,1.0063311,1.0187498
74,1.0122216,1.0246404
75,1.0181094,1.0305265
76,1.0239846,1.0364025
77,1.0298573,1.0422766
78,1.0357196,1.0481385
79,1.0415759,1.0539956
80,1.0474261,1.0598446
81,1.05327,1.065689
82,1.0591065,1.0715255
83,1.0649348,1.0773531
84,1.0707552,1.0831743
85,1.0765711,1.0889893
86,1.082379,1.0947957
87,1.0881788,1.1005971
88,1.0939729,1.1063908
89,1.0997596,1.1121773
90,1.1055392,1.117957
91,1.1113129,1.1237316
92,1.1170808,1.1294986
93,1.1228398,1.135258
94,1.1285917,1.1410105
95,1.1343361,1.1467555
96,1.140077,1.152496
97,1.1458086,1.1582267
98,1.151535,1.1639533
99,1.1572521,1.1696715
100,1.1629652,1.1753849
