,0,1,2,3,4,5,6,7,8
0,-0.49116254,-0.6251402,-0.66979915,-0.714459,-0.75911766,-0.80377704,-0.9297239,-0.95620936,-0.9823391
1,-0.4866621,-0.6206386,-0.6652987,-0.7099577,-0.7546168,-0.79927677,-0.9271169,-0.95386714,-0.9799971
2,-0.4821666,-0.61614335,-0.6608031,-0.7054625,-0.750121,-0.79478085,-0.92451227,-0.9515279,-0.9776579
3,-0.47767493,-0.6116541,-0.65631306,-0.7009724,-0.74563193,-0.79029065,-0.92181706,-0.94919246,-0.97532237
4,-0.4731934,-0.60716957,-0.6518289,-0.69648945,-0.7411475,-0.78580636,-0.9190274,-0.94685984,-0.97299
5,-0.46888062,-0.60269374,-0.6473528,-0.69201183,-0.73667085,-0.7813308,-0.9153082,-0.9442691,-0.97066015
6,-0.46479264,-0.5982224,-0.64288074,-0.68754005,-0.7321988,-0.7768593,-0.9108374,-0.94167906,-0.96833426
7,-0.46071172,-0.5937555,-0.63841504,-0.68307424,-0.7277342,-0.77239347,-0.90637034,-0.9390931,-0.96601135
8,-0.45663407,-0.58929455,-0.633954,-0.6786143,-0.7232741,-0.76793325,-0.90191066,-0.9365098,-0.96369
9,-0.45256317,-0.58484083,-0.6295,-0.6741594,-0.7188198,-0.7634781,-0.897456,-0.9338976,-0.9613722
10,-0.44849885,-0.580393,-0.6250519,-0.6697124,-0.71437085,-0.7590308,-0.8930085,-0.93121904,-0.95890033
11,-0.44443727,-0.57595015,-0.62061024,-0.66526914,-0.70992786,-0.7545871,-0.88856584,-0.92854375,-0.95632637
12,-0.44038224,-0.5715144,-0.6161736,-0.66083354,-0.7054923,-0.7501513,-0.8841291,-0.92587215,-0.95375746
13,-0.43633276,-0.56708294,-0.61174244,-0.6564029,-0.70106214,-0.74572164,-0.8796978,-0.9230553,-0.9511914
14,-0.43228877,-0.5626586,-0.6073181,-0.65197736,-0.6966368,-0.74129593,-0.875273,-0.91971666,-0.94862866
15,-0.42824867,-0.558239,-0.6028985,-0.64755833,-0.69221884,-0.7368779,-0.8708554,-0.9155142,-0.9460696
16,-0.424217,-0.5538279,-0.59848654,-0.643146,-0.6878054,-0.7324642,-0.8664434,-0.91110164,-0.9434493
17,-0.42018798,-0.5494207,-0.59407896,-0.63873816,-0.6833976,-0.7280571,-0.8620354,-0.906694,-0.9407952
18,-0.41616535,-0.5450173,-0.58967566,-0.63433677,-0.6789953,-0.72365457,-0.8576322,-0.9022906,-0.9381442
19,-0.41214642,-0.5406214,-0.5852813,-0.6299391,-0.6745993,-0.7192579,-0.8532367,-0.8978954,-0.93549603
20,-0.40818498,-0.5362323,-0.5808905,-0.62554914,-0.6702094,-0.71486795,-0.84884703,-0.8935058,-0.93285155
21,-0.40429598,-0.53184605,-0.5765064,-0.6211653,-0.665824,-0.71048343,-0.8444622,-0.8891214,-0.93021095
22,-0.4005313,-0.5274681,-0.5721272,-0.61678666,-0.6614473,-0.70610505,-0.8400828,-0.8847429,-0.92725575
23,-0.39678717,-0.52309436,-0.5677531,-0.61241263,-0.65707123,-0.70173085,-0.83570945,-0.88036853,-0.92404085
24,-0.39304975,-0.5187275,-0.563386,-0.60804534,-0.6527055,-0.6973641,-0.831342,-0.8760006,-0.9205069
25,-0.38931632,-0.5143644,-0.5590247,-0.60368294,-0.6483424,-0.69300216,-0.8269788,-0.8716397,-0.91629803
26,-0.38558698,-0.51000947,-0.55466855,-0.59932774,-0.6439869,-0.68864596,-0.82262415,-0.86728334,-0.9119428
27,-0.3818641,-0.50565755,-0.5503163,-0.594976,-0.6396362,-0.6842953,-0.8182726,-0.86293155,-0.90759116
28,-0.3781448,-0.5013137,-0.5459719,-0.590632,-0.63529116,-0.67995054,-0.8139277,-0.85858727,-0.90324676
29,-0.374431,-0.4969735,-0.5416328,-0.58629197,-0.63095117,-0.6756096,-0.80958754,-0.8542477,-0.89890623
30,-0.37072068,-0.49263817,-0.5372968,-0.5819573,-0.6266163,-0.6712758,-0.8052528,-0.84991217,-0.8945715
31,-0.36701664,-0.48831123,-0.5329701,-0.5776295,-0.62228906,-0.66694885,-0.80092686,-0.84558505,-0.89024407
32,-0.3633163,-0.48398805,-0.52864647,-0.5733056,-0.6179653,-0.6626246,-0.7966022,-0.84126186,-0.8859209
33,-0.35962054,-0.47966972,-0.52432984,-0.5689891,-0.613648,-0.65830654,-0.7922848,-0.8369448,-0.8816032
34,-0.35593078,-0.4753564,-0.5200171,-0.5646766,-0.60933566,-0.65399534,-0.78797215,-0.8326318,-0.8772912
35,-0.35224444,-0.4710511,-0.5157111,-0.5603699,-0.6050296,-0.649689,-0.78366524,-0.8283254,-0.8729858
36,-0.3485631,-0.46675014,-0.5114094,-0.55606896,-0.600728,-0.6453868,-0.77936494,-0.82402486,-0.86868435
37,-0.34488657,-0.46245563,-0.50711507,-0.5517742,-0.59643275,-0.64109266,-0.7750704,-0.81973076,-0.8643892
38,-0.3412146,-0.45825264,-0.50282425,-0.547484,-0.5921438,-0.63680166,-0.7707801,-0.8154393,-0.860099
39,-0.33754757,-0.4543356,-0.49854022,-0.5431993,-0.58785814,-0.63251776,-0.76649624,-0.8111549,-0.85581464
40,-0.33388427,-0.45042434,-0.49426112,-0.5389211,-0.5835803,-0.6282388,-0.7622176,-0.8068759,-0.85153663
41,-0.3302272,-0.44651946,-0.4899877,-0.5346465,-0.5793063,-0.6239648,-0.7579436,-0.8026019,-0.8472618
42,-0.32657322,-0.44261685,-0.48571822,-0.5303779,-0.5750364,-0.61969644,-0.7536744,-0.7983335,-0.8429929
43,-0.322925,-0.4387207,-0.48145586,-0.52611524,-0.57077473,-0.6154338,-0.74941105,-0.7940713,-0.83872986
44,-0.31928128,-0.43483013,-0.4771979,-0.52185714,-0.56651723,-0.61117625,-0.7451542,-0.7898133,-0.8344727
45,-0.31564093,-0.43094265,-0.4729459,-0.517605,-0.5622636,-0.6069231,-0.7409014,-0.78556144,-0.8302201
46,-0.3120068,-0.4270615,-0.46869874,-0.51335764,-0.55801797,-0.60267705,-0.73665494,-0.7813147,-0.8259734
47,-0.30837575,-0.4231847,-0.46445692,-0.50911653,-0.553777,-0.5984343,-0.73241305,-0.7770729,-0.82173234
48,-0.3047519,-0.41944,-0.46022248,-0.5048822,-0.5495409,-0.5942002,-0.728178,-0.7728372,-0.8174956
