,0,1,2
0,-0.8001177,-0.85658824,-0.91305906
1,-0.7951589,-0.8516306,-0.9081038
2,-0.79020876,-0.8466798,-0.9031506
3,-0.78526205,-0.8417343,-0.89820504
4,-0.78032535,-0.8367967,-0.89327013
5,-0.77539545,-0.83186704,-0.88833743
6,-0.770469,-0.82694006,-0.8834139
7,-0.7655512,-0.8220222,-0.87849456
8,-0.760639,-0.8171116,-0.87358236
9,-0.75573313,-0.8122065,-0.8686784
10,-0.75083596,-0.80730695,-0.8637781
11,-0.74594104,-0.8024147,-0.858885
12,-0.7410558,-0.7975276,-0.8540002
13,-0.7361754,-0.7926478,-0.84912115
14,-0.731303,-0.78777534,-0.8442468
15,-0.72643554,-0.7829089,-0.83938086
16,-0.72157633,-0.7780487,-0.8345206
17,-0.71672255,-0.77319455,-0.8296655
18,-0.71187365,-0.768346,-0.82481766
19,-0.7070317,-0.7635032,-0.8199754
20,-0.70219713,-0.75866914,-0.81514
21,-0.69736844,-0.75383943,-0.81031173
22,-0.69254625,-0.74901736,-0.80549
23,-0.68772924,-0.74420035,-0.8006726
24,-0.6829188,-0.73939097,-0.79586244
25,-0.67811424,-0.73458743,-0.79105955
26,-0.6733171,-0.7297899,-0.7862601
27,-0.6685245,-0.72499627,-0.78146863
28,-0.6637409,-0.7202126,-0.7766841
29,-0.65896136,-0.7154318,-0.77190405
30,-0.6541866,-0.7106577,-0.7671296
31,-0.64942014,-0.705893,-0.76236457
32,-0.64465857,-0.7011322,-0.7576037
33,-0.63990366,-0.6963771,-0.752848
34,-0.6351535,-0.6916278,-0.7480985
35,-0.63041306,-0.6868836,-0.74335706
36,-0.62567484,-0.6821466,-0.73861796
37,-0.6209447,-0.6774175,-0.7338874
38,-0.6162197,-0.67269164,-0.72916335
39,-0.6115009,-0.6679729,-0.72444504
40,-0.6067901,-0.6632607,-0.7197338
41,-0.60208184,-0.6585533,-0.71502435
42,-0.5973824,-0.6538524,-0.7103233
43,-0.59268665,-0.64915836,-0.7056299
44,-0.587997,-0.6444679,-0.70094115
45,-0.5833131,-0.6397845,-0.69625556
46,-0.5786364,-0.63510853,-0.6915788
47,-0.5739653,-0.63043725,-0.686908
48,-0.5693008,-0.62577295,-0.6822454
49,-0.5646407,-0.62111163,-0.677585
50,-0.55998623,-0.61645883,-0.6729298
51,-0.55533886,-0.61180866,-0.66828096
52,-0.55069584,-0.6071677,-0.66364014
53,-0.5460614,-0.60253227,-0.6590048
54,-0.5414282,-0.5978988,-0.6543718
55,-0.5368056,-0.5932769,-0.64974856
56,-0.5321827,-0.5886559,-0.6451277
57,-0.52757186,-0.58404416,-0.640515
58,-0.5229638,-0.57943684,-0.6359084
59,-0.5183633,-0.5748326,-0.6313057
60,-0.51376545,-0.570238,-0.62670857
61,-0.5091765,-0.56564707,-0.62211853
62,-0.5045886,-0.56106013,-0.6175335
63,-0.50001043,-0.5564829,-0.6129537
64,-0.49543706,-0.5519096,-0.60837924
65,-0.49087065,-0.5473418,-0.6038125
66,-0.48630622,-0.5427781,-0.5992495
67,-0.48175004,-0.5382233,-0.5946935
68,-0.47719744,-0.5336687,-0.5901393
69,-0.4726539,-0.5291234,-0.5855969
70,-0.46811235,-0.52458405,-0.58105516
71,-0.46357736,-0.5200489,-0.57652044
72,-0.4590462,-0.51551986,-0.5719923
73,-0.4545228,-0.5109954,-0.56746596
74,-0.45000616,-0.50647765,-0.56294936
75,-0.44549403,-0.5019649,-0.55843574
76,-0.44098562,-0.4974582,-0.5539299
77,-0.43648383,-0.4929559,-0.5494262
78,-0.43198702,-0.48845962,-0.5449312
79,-0.42749658,-0.483969,-0.5404396
80,-0.4230123,-0.47948474,-0.5359551
81,-0.41853052,-0.47500327,-0.5314739
82,-0.414055,-0.47052786,-0.5269994
83,-0.40958875,-0.46605888,-0.5225306
84,-0.40512305,-0.4615954,-0.51806766
85,-0.40066367,-0.45713586,-0.5136083
86,-0.3962112,-0.4526828,-0.50915545
87,-0.39176294,-0.4482356,-0.50470525
88,-0.38731977,-0.44379273,-0.50026584
89,-0.3828843,-0.43935707,-0.49582776
90,-0.3784524,-0.4349228,-0.4913957
91,-0.3740244,-0.43049625,-0.48696864
92,-0.36960202,-0.42607242,-0.48254403
93,-0.36518645,-0.4216584,-0.47812846
94,-0.36077592,-0.41724735,-0.47371957
95,-0.35637078,-0.41284242,-0.46931386
96,-0.35196877,-0.40844044,-0.4649128
97,-0.3476233,-0.40404525,-0.46051738
98,-0.34330148,-0.39965448,-0.4561263
99,-0.3389873,-0.3952708,-0.45174184
100,-0.3346748,-0.39089066,-0.4473609
