,0,1,2,3,4
0,-0.74816227,-0.78142536,-0.88114816,-0.9053276,-0.9259688
1,-0.7450035,-0.77807647,-0.87857175,-0.9031791,-0.924056
2,-0.7418469,-0.77473164,-0.8759987,-0.9010058,-0.92214555
3,-0.7386963,-0.7713913,-0.87321776,-0.89879817,-0.9202378
4,-0.73554933,-0.76805604,-0.87025344,-0.89639944,-0.9183067
5,-0.7324076,-0.7647252,-0.8670094,-0.8940052,-0.91631716
6,-0.7292689,-0.761399,-0.8636971,-0.8915763,-0.91432863
7,-0.7261345,-0.7581371,-0.8602984,-0.88908607,-0.9123435
8,-0.72300386,-0.75500596,-0.85690176,-0.8865995,-0.91036135
9,-0.7198782,-0.7518796,-0.8535104,-0.88407487,-0.9083116
10,-0.71675575,-0.7487584,-0.8501233,-0.8815294,-0.90618867
11,-0.7136374,-0.74563974,-0.84674144,-0.87898636,-0.9040447
12,-0.7105249,-0.74252623,-0.84336287,-0.87644744,-0.9017394
13,-0.70741445,-0.7394172,-0.83999056,-0.87372124,-0.89936996
14,-0.7043088,-0.73631203,-0.83662134,-0.87079334,-0.89700323
15,-0.70120734,-0.7332096,-0.83325714,-0.8675779,-0.8946093
16,-0.69811094,-0.7301138,-0.82989764,-0.86421895,-0.8921484
17,-0.69501805,-0.7270211,-0.82654184,-0.86086285,-0.889692
18,-0.6919276,-0.7239307,-0.82318884,-0.85751003,-0.8872376
19,-0.68884194,-0.7208442,-0.81984264,-0.85416424,-0.8847574
20,-0.6857605,-0.7177629,-0.81652856,-0.8508214,-0.88224566
21,-0.6826838,-0.7146857,-0.8132262,-0.84748256,-0.87973636
22,-0.67961043,-0.71161264,-0.80993026,-0.84414864,-0.8772294
23,-0.6765402,-0.70854276,-0.8066362,-0.8408193,-0.8745676
24,-0.6734762,-0.7054778,-0.80334944,-0.8374945,-0.8717188
25,-0.6704135,-0.7024158,-0.8001035,-0.8341726,-0.86849326
26,-0.66735613,-0.6993598,-0.7968631,-0.83085626,-0.865177
27,-0.6643024,-0.69630456,-0.79362535,-0.8275686,-0.86186427
28,-0.66125345,-0.6932559,-0.7903936,-0.8242973,-0.8585561
29,-0.658208,-0.6902097,-0.78716534,-0.82102966,-0.85525066
30,-0.65516424,-0.6871667,-0.78394,-0.81776476,-0.8519516
31,-0.6521276,-0.68413126,-0.7807206,-0.81450576,-0.8486565
32,-0.64909405,-0.6810952,-0.7775037,-0.8112512,-0.8453648
33,-0.64606315,-0.678066,-0.7742937,-0.8080008,-0.84207803
34,-0.6430369,-0.67503846,-0.7710853,-0.804781,-0.83881545
35,-0.6400148,-0.67201686,-0.76802397,-0.80157757,-0.8355732
36,-0.63699573,-0.66899866,-0.7650054,-0.7983772,-0.8323346
37,-0.63398093,-0.66598326,-0.7619916,-0.7951834,-0.82910043
38,-0.6309705,-0.6629728,-0.75898063,-0.79199106,-0.82586974
39,-0.627963,-0.65996563,-0.7559723,-0.78880465,-0.82264316
40,-0.6249602,-0.6569624,-0.7529695,-0.78561944,-0.8194218
41,-0.62196016,-0.65396327,-0.74996966,-0.7824419,-0.81620216
42,-0.6189646,-0.65096694,-0.7469739,-0.77926594,-0.81298894
43,-0.61597264,-0.6479746,-0.74398273,-0.77609444,-0.80979115
44,-0.6129839,-0.6449865,-0.7409935,-0.772996,-0.8066227
45,-0.6099998,-0.6420021,-0.7380091,-0.77001107,-0.8034589
46,-0.6070201,-0.63902205,-0.7350283,-0.76703143,-0.8002992
47,-0.6040427,-0.63604474,-0.7320513,-0.764054,-0.79714483
48,-0.60106987,-0.6330728,-0.72907954,-0.7610823,-0.79399276
49,-0.59810007,-0.630101,-0.7261092,-0.7581117,-0.79084635
50,-0.5951334,-0.6271374,-0.72314405,-0.75514597,-0.78770214
51,-0.5921719,-0.62417406,-0.7201812,-0.7521837,-0.78456247
52,-0.5892139,-0.6212157,-0.7172235,-0.7492264,-0.7814269
53,-0.58625984,-0.618262,-0.71426964,-0.7462718,-0.778295
54,-0.5833075,-0.61530995,-0.7113178,-0.7433193,-0.7753216
55,-0.5803616,-0.61236346,-0.70837027,-0.7403728,-0.7723752
56,-0.5774173,-0.6094201,-0.7054264,-0.7374284,-0.7694315
57,-0.57447654,-0.6064788,-0.7024868,-0.73448986,-0.76649195
58,-0.571541,-0.6035433,-0.6995499,-0.73155284,-0.7635547
59,-0.5686086,-0.60060984,-0.6966168,-0.72861993,-0.76062244
60,-0.5656788,-0.5976808,-0.6936888,-0.7256912,-0.75769264
61,-0.5627544,-0.5947564,-0.690763,-0.72276604,-0.7547679
62,-0.55983186,-0.5918343,-0.687841,-0.7198434,-0.7518461
63,-0.55691314,-0.5889151,-0.68492323,-0.7169255,-0.7489263
64,-0.5539985,-0.5860011,-0.68200785,-0.71401066,-0.7460127
65,-0.55108833,-0.58309,-0.67909694,-0.7110996,-0.74310225
66,-0.54817945,-0.58018214,-0.6761882,-0.70819235,-0.7401948
67,-0.54527783,-0.57727945,-0.6732858,-0.70528907,-0.7372915
68,-0.54237556,-0.5743774,-0.67038476,-0.70238733,-0.734389
69,-0.5394797,-0.5714813,-0.6674887,-0.69948953,-0.7314923
70,-0.53658533,-0.56858796,-0.66459477,-0.6965966,-0.72860026
71,-0.53369445,-0.5656986,-0.66170573,-0.69370687,-0.7257092
72,-0.53080827,-0.5628112,-0.65881836,-0.6908202,-0.72282296
73,-0.52792615,-0.55992854,-0.6559357,-0.68793845,-0.7199401
74,-0.5250475,-0.5570503,-0.6530568,-0.6850594,-0.71706206
75,-0.5221714,-0.55417395,-0.650181,-0.68218297,-0.71418536
76,-0.5192995,-0.5513014,-0.6473095,-0.67931205,-0.7113132
77,-0.51642936,-0.5484319,-0.64443934,-0.6764415,-0.7084439
78,-0.5135649,-0.54556644,-0.6415744,-0.6735761,-0.7055795
79,-0.5106703,-0.54270595,-0.63871276,-0.67071563,-0.70271665
80,-0.50775224,-0.53984714,-0.63585466,-0.667857,-0.6998585
81,-0.50483716,-0.53699166,-0.63299835,-0.6650015,-0.69700336
82,-0.5017321,-0.5341391,-0.63014597,-0.6621493,-0.69415176
83,-0.4986202,-0.5312929,-0.6272982,-0.65930164,-0.69130236
84,-0.4955099,-0.52844644,-0.62445503,-0.65645695,-0.6884587
85,-0.4924047,-0.5256054,-0.6216127,-0.65361583,-0.6856177
86,-0.48930332,-0.5227684,-0.61877525,-0.65077674,-0.68278
87,-0.48620477,-0.5199329,-0.61594087,-0.6479431,-0.67994565
88,-0.48311096,-0.51710254,-0.6131094,-0.64511174,-0.67711365
89,-0.48002088,-0.5142674,-0.6102813,-0.64228314,-0.67428595
90,-0.47693428,-0.5113844,-0.60745716,-0.63945925,-0.67146254
91,-0.47385123,-0.50850546,-0.60463667,-0.6366395,-0.66864014
92,-0.47076997,-0.50562674,-0.60181767,-0.63382053,-0.665823
93,-0.4676947,-0.50275415,-0.5990044,-0.6310056,-0.66300863
94,-0.4646221,-0.4998843,-0.59619313,-0.6281957,-0.66019803
95,-0.4615536,-0.49692422,-0.5933864,-0.6253873,-0.65739036
96,-0.4584875,-0.49385756,-0.5905804,-0.62258255,-0.6545849
97,-0.45542789,-0.49079612,-0.5877799,-0.6197816,-0.6517841
98,-0.45236897,-0.48773777,-0.58498085,-0.61698335,-0.64898646
99,-0.44931477,-0.48468408,-0.5821878,-0.61419004,-0.6461924
100,-0.44626415,-0.48163378,-0.57939655,-0.6113988,-0.64340055
