,0,1,2,3,4
0,-0.62021315,-0.66804636,-0.82545775,-0.8780133,-0.9305685
1,-0.6182419,-0.6660763,-0.8232705,-0.87582624,-0.9283825
2,-0.61627346,-0.6641068,-0.82108665,-0.8736425,-0.92619795
3,-0.6143079,-0.66214126,-0.8189052,-0.8714618,-0.9240171
4,-0.61234486,-0.660178,-0.8167284,-0.8692836,-0.9218393
5,-0.6103844,-0.6582179,-0.8145537,-0.86710924,-0.91966426
6,-0.60842705,-0.6562598,-0.81238055,-0.8649372,-0.9174928
7,-0.6064715,-0.6543042,-0.81021184,-0.86276764,-0.9153235
8,-0.6045183,-0.6523515,-0.80804485,-0.8606006,-0.9131566
9,-0.6025683,-0.65040135,-0.8058815,-0.85843724,-0.9109931
10,-0.60062015,-0.64845335,-0.80372095,-0.8562766,-0.9088319
11,-0.598675,-0.6465082,-0.80156255,-0.8541185,-0.9066744
12,-0.5967325,-0.644566,-0.79940706,-0.85196286,-0.9045191
13,-0.5947927,-0.64262545,-0.79725534,-0.8498106,-0.9023669
14,-0.5928552,-0.6406882,-0.795105,-0.8476615,-0.90021706
15,-0.5909204,-0.6387536,-0.79295933,-0.8455151,-0.8980704
16,-0.58898795,-0.6368214,-0.7908153,-0.8433709,-0.8959271
17,-0.5870586,-0.63489187,-0.7886748,-0.8412306,-0.8937865
18,-0.5851306,-0.63296413,-0.7865354,-0.83909184,-0.8916468
19,-0.583206,-0.6310393,-0.7844001,-0.83695686,-0.88951194
20,-0.5812836,-0.6291168,-0.78226817,-0.8348243,-0.88737917
21,-0.5793638,-0.6271976,-0.780138,-0.8326938,-0.88524944
22,-0.5774467,-0.6252796,-0.77801114,-0.8305665,-0.8831228
23,-0.5755316,-0.62336457,-0.7758858,-0.8284419,-0.8809976
24,-0.57361925,-0.62145233,-0.77376467,-0.82632065,-0.8788764
25,-0.57170963,-0.61954266,-0.7716454,-0.82420176,-0.87675726
26,-0.5698019,-0.61763513,-0.7695291,-0.8220856,-0.87464136
27,-0.56789714,-0.6157297,-0.7674161,-0.8199723,-0.87252784
28,-0.56599474,-0.61382806,-0.7653057,-0.81786156,-0.8704174
29,-0.5640947,-0.6119271,-0.7631977,-0.8157527,-0.8683091
30,-0.56219584,-0.61002976,-0.7610915,-0.8136471,-0.866203
31,-0.56030244,-0.6081346,-0.75898993,-0.81154543,-0.8641008
32,-0.5584084,-0.60624105,-0.756889,-0.8094447,-0.86200094
33,-0.5565178,-0.6043512,-0.7547921,-0.807348,-0.85990304
34,-0.55462945,-0.6024633,-0.75269717,-0.80525297,-0.85780865
35,-0.55274415,-0.6005778,-0.7506056,-0.80316055,-0.8557171
36,-0.5508612,-0.59869456,-0.74851644,-0.8010721,-0.8536278
37,-0.5489806,-0.59681344,-0.7464298,-0.7989857,-0.8515407
38,-0.5471021,-0.59493494,-0.7443463,-0.79690176,-0.8494566
39,-0.5452262,-0.59305906,-0.74226433,-0.7948202,-0.84737563
40,-0.54335266,-0.5911859,-0.74018586,-0.7927417,-0.8452978
41,-0.5414815,-0.5893143,-0.73810935,-0.79066616,-0.84322184
42,-0.5396121,-0.58744514,-0.7360362,-0.7885919,-0.8411476
43,-0.5377452,-0.5855788,-0.73396546,-0.7865214,-0.83907676
44,-0.53588694,-0.5837145,-0.7318977,-0.78445256,-0.83700895
45,-0.5341439,-0.5818526,-0.7298314,-0.782387,-0.83494246
46,-0.5324971,-0.57999337,-0.72776824,-0.7803241,-0.83288014
47,-0.53100306,-0.5781362,-0.72570777,-0.77826464,-0.8308194
48,-0.5295118,-0.5762813,-0.7236507,-0.77620727,-0.82876235
49,-0.5280213,-0.5744292,-0.7215946,-0.7741509,-0.8267065
50,-0.5265335,-0.57257843,-0.7195426,-0.7720979,-0.8246541
51,-0.525047,-0.5707303,-0.71749157,-0.7700481,-0.82260376
52,-0.52356255,-0.5688852,-0.7154452,-0.76800036,-0.82055664
53,-0.5220811,-0.5670419,-0.71340007,-0.7659567,-0.8185113
54,-0.52059925,-0.5652,-0.71135736,-0.7639124,-0.8164695
55,-0.5191205,-0.56336254,-0.70931715,-0.7618728,-0.8144294
56,-0.5176436,-0.56152576,-0.7072795,-0.7598356,-0.81239146
57,-0.5161683,-0.55969185,-0.7052455,-0.7578012,-0.8103563
58,-0.51469505,-0.5578602,-0.7032125,-0.755769,-0.808325
59,-0.5132233,-0.5560303,-0.7011831,-0.7537394,-0.8062941
60,-0.51175386,-0.55420256,-0.69915557,-0.7517122,-0.804267
61,-0.51028556,-0.55237794,-0.6971312,-0.7496871,-0.8022428
62,-0.5088192,-0.5505548,-0.6951083,-0.74766445,-0.8002193
63,-0.50735486,-0.54873383,-0.6930881,-0.74564487,-0.79819995
64,-0.5058924,-0.5469157,-0.69107187,-0.743627,-0.79618216
65,-0.5044323,-0.5451001,-0.6890576,-0.7416128,-0.7941684
66,-0.5029732,-0.5432856,-0.68704414,-0.7396,-0.7921558
67,-0.5015166,-0.5414742,-0.6850346,-0.73759,-0.79014665
68,-0.500061,-0.5396641,-0.68316454,-0.7355821,-0.788138
69,-0.49860707,-0.5378571,-0.6813574,-0.7335773,-0.786133
70,-0.4971554,-0.5360916,-0.679552,-0.7315751,-0.7841307
71,-0.4957054,-0.53456676,-0.6777494,-0.72957486,-0.78213024
72,-0.49425727,-0.5331187,-0.6759485,-0.7275772,-0.7801326
73,-0.4928104,-0.5316714,-0.67415,-0.7255816,-0.77813673
74,-0.49136576,-0.5302277,-0.67235446,-0.7235893,-0.7761449
75,-0.48992226,-0.5287843,-0.6705593,-0.72159874,-0.7741542
76,-0.4884815,-0.52734345,-0.66876775,-0.71961045,-0.77216685
77,-0.4870415,-0.5259034,-0.6669776,-0.717624,-0.7701808
78,-0.48560393,-0.5244659,-0.6651906,-0.7156417,-0.7681976
79,-0.48423234,-0.5230302,-0.6634052,-0.71366084,-0.766217
80,-0.48286635,-0.52159566,-0.66162235,-0.71168274,-0.7642382
81,-0.48150176,-0.5201627,-0.6598402,-0.7097065,-0.7622619
82,-0.48013896,-0.51873225,-0.6580623,-0.70773226,-0.7602875
83,-0.478778,-0.5173026,-0.65628535,-0.70576155,-0.7583169
84,-0.47741902,-0.5158758,-0.65451,-0.7037926,-0.7563483
85,-0.47606105,-0.51444936,-0.65273726,-0.7018257,-0.7543814
86,-0.4747049,-0.5130258,-0.6509673,-0.69986147,-0.7524171
87,-0.47334972,-0.51160353,-0.6491982,-0.69790006,-0.75045544
88,-0.4719971,-0.5101834,-0.6474325,-0.6959401,-0.74849665
89,-0.4706462,-0.5087643,-0.64566904,-0.6939831,-0.7465384
90,-0.4692961,-0.5073464,-0.64390695,-0.6920287,-0.74458367
91,-0.46794847,-0.50593174,-0.6421462,-0.6900762,-0.74263185
92,-0.4666008,-0.5045175,-0.64038795,-0.68822116,-0.7406808
93,-0.46525615,-0.50310546,-0.63863194,-0.68646556,-0.7387327
94,-0.46391356,-0.50169486,-0.63687897,-0.6847122,-0.736788
95,-0.4625717,-0.50028646,-0.6351278,-0.6829608,-0.73484474
96,-0.46123102,-0.49887854,-0.63337773,-0.6812109,-0.7329029
97,-0.45989272,-0.49747357,-0.6316298,-0.6794636,-0.7309651
98,-0.45855588,-0.49606907,-0.62988484,-0.67771775,-0.72902775
99,-0.45722076,-0.49466765,-0.62814105,-0.6759747,-0.727094
100,-0.45588616,-0.4932666,-0.6264005,-0.67423356,-0.72516215
