,0,1,2,3,4,5,6,7,8
0,0.47750413,0.47645074,0.47610116,0.47575006,0.47539985,0.47504893,0.4739963,0.47364652,0.4732944
1,0.4826464,0.4815952,0.48124245,0.4808923,0.48054233,0.48019117,0.47913778,0.4787889,0.47843874
2,0.48778296,0.4867306,0.4863804,0.48602957,0.48567867,0.48532835,0.48427552,0.48392633,0.4835745
3,0.4929127,0.49186084,0.49150896,0.49115896,0.49080878,0.49045882,0.4894056,0.48905605,0.4887052
4,0.4980354,0.49698335,0.49663258,0.49628344,0.49593195,0.49558172,0.49452877,0.49417713,0.49382636
5,0.5031519,0.5020992,0.5017478,0.5013964,0.5010464,0.50069433,0.4996424,0.49929258,0.4989429
6,0.50825834,0.50720704,0.50685745,0.50650734,0.5061559,0.5058055,0.50475365,0.5044026,0.50405145
7,0.51336235,0.51231027,0.5119596,0.5116093,0.51125795,0.5109066,0.50985575,0.50950617,0.5091539
8,0.51845944,0.5174046,0.517057,0.5167064,0.5163535,0.51600397,0.51495165,0.51460046,0.51425016
9,0.52354956,0.5224965,0.522146,0.52179366,0.52144355,0.52109325,0.52004117,0.5196906,0.51933926
10,0.5286291,0.5275785,0.5272272,0.5268774,0.5265255,0.52617514,0.52512336,0.5247719,0.5244216
11,0.53370637,0.53265345,0.53230405,0.53195345,0.53160286,0.53125274,0.5302001,0.52984816,0.5294976
12,0.5387743,0.5377231,0.53737164,0.5370225,0.5366717,0.5363202,0.53526676,0.534919,0.53456753
13,0.5438356,0.5427854,0.54243356,0.5420847,0.5417329,0.5413828,0.5403301,0.5399778,0.539629
14,0.54889405,0.54784054,0.547489,0.5471393,0.54678804,0.5464382,0.54538655,0.54503614,0.5446846
15,0.553942,0.5528896,0.55253845,0.5521882,0.5518375,0.55148816,0.55043614,0.55008596,0.5497337
16,0.5589825,0.5579307,0.5575812,0.5572289,0.5568773,0.5565286,0.5554762,0.55512524,0.5547756
17,0.5640187,0.5629676,0.56261605,0.56226575,0.5619156,0.56156325,0.56051266,0.56016225,0.55981094
18,0.56904995,0.5679966,0.5676461,0.56729764,0.5669454,0.56659484,0.5655424,0.56519145,0.5648409
19,0.57407266,0.5730209,0.572669,0.57231814,0.57196736,0.57161796,0.57056606,0.5702145,0.5698638
20,0.57908773,0.5780352,0.5776849,0.5773362,0.5769826,0.5766336,0.5755812,0.5752309,0.57487965
21,0.5840991,0.5830456,0.58269536,0.58234423,0.5819942,0.5816435,0.58059025,0.5802413,0.5798892
22,0.58910006,0.58804965,0.5876992,0.58734745,0.5869962,0.5866469,0.5855947,0.5852423,0.5848946
23,0.59409904,0.59304553,0.592696,0.5923455,0.5919934,0.5916436,0.5905899,0.59024197,0.58989114
24,0.59908843,0.59803647,0.5976859,0.597335,0.5969853,0.5966335,0.59558046,0.5952295,0.5948814
25,0.6040727,0.6030207,0.602671,0.6023196,0.6019683,0.6016177,0.6005648,0.60021466,0.59986323
26,0.6090495,0.6079974,0.60764694,0.60729635,0.6069474,0.6065936,0.60554075,0.6051926,0.60484284
27,0.61402166,0.61296964,0.6126178,0.612266,0.61191636,0.6115661,0.61051375,0.6101624,0.6098126
28,0.6189858,0.61793345,0.6175816,0.6172322,0.6168816,0.61652946,0.6154789,0.6151283,0.6147769
29,0.6239434,0.6228924,0.6225418,0.62219006,0.62183976,0.62148994,0.62043655,0.6200849,0.61973536
30,0.62889695,0.6278447,0.6274931,0.6271435,0.62679315,0.62644154,0.6253883,0.6250393,0.6246884
31,0.63384056,0.6327893,0.6324368,0.6320869,0.63173616,0.63138545,0.63033366,0.6299821,0.62963355
32,0.638781,0.63772935,0.6373793,0.63702756,0.6366775,0.6363251,0.6352749,0.6349218,0.63457346
33,0.6437133,0.6426613,0.64231116,0.6419605,0.64160883,0.641258,0.64020675,0.6398555,0.63950664
34,0.6486414,0.64758927,0.6472376,0.6468862,0.64653736,0.64618665,0.645134,0.6447848,0.6444327
35,0.6535613,0.6525082,0.65215963,0.6518076,0.6514563,0.65110594,0.6500533,0.6497044,0.6493524
36,0.65847516,0.65742326,0.65707266,0.65672064,0.6563712,0.6560207,0.6549674,0.6546167,0.65426725
37,0.6633817,0.66233045,0.6619791,0.6616296,0.66127807,0.66092795,0.6598742,0.6595236,0.65917474
38,0.6682837,0.66723126,0.6668818,0.66653085,0.6661782,0.6658285,0.6647771,0.6644246,0.6640759
39,0.6731806,0.67212826,0.671776,0.67142653,0.67107636,0.6707253,0.6696721,0.66932166,0.66897184
40,0.67806906,0.6770168,0.6766656,0.67631376,0.6759644,0.675612,0.67456096,0.6742106,0.67385924
41,0.6829514,0.68189794,0.6815497,0.68119913,0.6808473,0.6804966,0.6794447,0.6790943,0.6787431
42,0.68782985,0.68677706,0.68642634,0.6860751,0.6857249,0.6853733,0.6843232,0.68397206,0.68362135
43,0.69269973,0.6916469,0.69129574,0.69094497,0.69059473,0.6902443,0.6891923,0.688843,0.68849033
44,0.69756395,0.6965124,0.69616145,0.6958108,0.695459,0.6951083,0.69405687,0.69370705,0.69335586
45,0.7024236,0.70137066,0.7010207,0.70067066,0.7003185,0.6999682,0.69891536,0.6985671,0.698213
46,0.70727426,0.7062236,0.70587164,0.7055206,0.70517135,0.7048214,0.7037675,0.7034171,0.70306605
47,0.7121221,0.7110706,0.71071804,0.71036774,0.71001714,0.7096664,0.7086154,0.7082648,0.7079109
48,0.71695954,0.7159072,0.7155583,0.71520615,0.7148566,0.7145046,0.7134518,0.71310186,0.7127511
49,0.7217956,0.7207442,0.72039455,0.7200436,0.71969086,0.7193403,0.7182894,0.71793747,0.7175866
