,0,1,2,3,4,5,6,7,8,9
0,-0.2456012,-0.28933564,-0.40800205,-0.46585512,-0.52376515,-0.5816749,-0.6393077,-0.7948212,-0.84663963,-0.8984581
1,-0.24476902,-0.28869525,-0.40695202,-0.46476617,-0.5226756,-0.58058554,-0.638318,-0.7938465,-0.8456654,-0.8974835
2,-0.24393713,-0.2880489,-0.40590307,-0.46367782,-0.52158755,-0.5794977,-0.6372765,-0.79287356,-0.844692,-0.89651036
3,-0.24310683,-0.28740287,-0.4048557,-0.46259108,-0.52050143,-0.5784108,-0.63622814,-0.79190165,-0.84372014,-0.89553857
4,-0.2422777,-0.28674558,-0.40380952,-0.46150652,-0.5194163,-0.5773261,-0.6351808,-0.7909311,-0.84274966,-0.8945684
5,-0.24144992,-0.28608942,-0.40276492,-0.46042275,-0.51833284,-0.5762425,-0.6341346,-0.78996205,-0.8417807,-0.8935993
6,-0.24062239,-0.2854338,-0.40172175,-0.45934048,-0.5172503,-0.5751599,-0.6330701,-0.7889937,-0.8408126,-0.89263076
7,-0.23979639,-0.28477925,-0.40068012,-0.45826006,-0.5161697,-0.57407945,-0.63198984,-0.7880273,-0.83984613,-0.89166486
8,-0.23897144,-0.28412512,-0.39963895,-0.45718035,-0.5150901,-0.573,-0.6309098,-0.78706175,-0.83888036,-0.89069873
9,-0.23814754,-0.2834722,-0.3985996,-0.45610252,-0.51401234,-0.5719219,-0.6298318,-0.7860976,-0.83791625,-0.8897345
10,-0.23732483,-0.28282052,-0.39756215,-0.45502573,-0.51293564,-0.57084537,-0.62875557,-0.7851348,-0.83695346,-0.8887717
11,-0.23650326,-0.28216904,-0.39652568,-0.45395103,-0.5118605,-0.5697703,-0.62768036,-0.784173,-0.8359913,-0.88781005
12,-0.23568283,-0.28151867,-0.39549065,-0.4528772,-0.51078707,-0.56869704,-0.6266061,-0.78321266,-0.83503085,-0.88684976
13,-0.23486303,-0.28086925,-0.39445686,-0.45180497,-0.5097148,-0.5676243,-0.6255347,-0.7822535,-0.83407193,-0.88589066
14,-0.23404448,-0.28022072,-0.39342454,-0.45073378,-0.5086441,-0.56655335,-0.6244637,-0.7812957,-0.8331143,-0.8849327
15,-0.2332272,-0.27956045,-0.39239326,-0.44966438,-0.5075744,-0.56548434,-0.623394,-0.7803391,-0.8321579,-0.8839762
16,-0.23241134,-0.27876517,-0.391364,-0.44859654,-0.50650626,-0.5644164,-0.6223261,-0.77938366,-0.8312023,-0.88302076
17,-0.23159586,-0.2779708,-0.39033538,-0.44753018,-0.5054396,-0.56334955,-0.6212597,-0.77842987,-0.8302484,-0.88206685
18,-0.2307816,-0.27717736,-0.38930812,-0.44646463,-0.5043745,-0.56228435,-0.6201938,-0.77747685,-0.82929516,-0.8811134
19,-0.22996823,-0.2763849,-0.38828272,-0.44540036,-0.5033105,-0.5612201,-0.61913,-0.7765254,-0.8283435,-0.8801622
20,-0.22915658,-0.2755934,-0.38725847,-0.44433808,-0.502248,-0.5601578,-0.6180678,-0.7755747,-0.8273933,-0.8792117
21,-0.22834557,-0.27480316,-0.38623515,-0.44327664,-0.5011866,-0.5590963,-0.61700636,-0.7746255,-0.8264439,-0.878263
22,-0.22753587,-0.27401394,-0.38521385,-0.44221717,-0.50012684,-0.55803674,-0.61594635,-0.7736775,-0.82549626,-0.87731487
23,-0.22672665,-0.2732257,-0.38419327,-0.44115898,-0.49906868,-0.55697805,-0.61488813,-0.7727307,-0.8245496,-0.8763682
24,-0.22591896,-0.27243817,-0.38317436,-0.44010183,-0.4980117,-0.55592144,-0.61383086,-0.77178556,-0.82360405,-0.87542266
