,0,1,2,3,4,5,6,7,8,9
0,0.61059225,0.6083185,0.6014979,0.59922475,0.5969506,0.5946766,0.5924034,0.58558255,0.5833088,0.5810347
1,0.61214817,0.60987455,0.60305333,0.60078007,0.59850645,0.59623307,0.59395945,0.58713824,0.5848647,0.58259094
2,0.6137027,0.61142915,0.604608,0.6023347,0.6000607,0.59778726,0.59551364,0.58869237,0.5864188,0.5841453
3,0.6152547,0.6129807,0.6061603,0.6038869,0.6016128,0.5993394,0.5970655,0.59024453,0.58797103,0.58569753
4,0.61680394,0.61453086,0.60770994,0.605436,0.60316294,0.6008894,0.59861535,0.59179455,0.5895214,0.58724755
5,0.618352,0.6160786,0.6092579,0.6069836,0.60471004,0.60243684,0.60016286,0.59334177,0.591069,0.58879495
6,0.61989856,0.61762387,0.6108039,0.60853064,0.6062563,0.6039827,0.6017093,0.5948881,0.59261453,0.59034073
7,0.62144214,0.6191681,0.6123474,0.6100735,0.6078001,0.6055263,0.6032526,0.59643203,0.594158,0.59188443
8,0.62298375,0.62071,0.61388934,0.61161584,0.60934174,0.6070681,0.6047945,0.5979743,0.59570026,0.59342664
9,0.6245238,0.62225,0.61542916,0.6131555,0.61088204,0.6086081,0.60633475,0.59951395,0.59724003,0.59496665
10,0.6260613,0.6237878,0.61696666,0.6146931,0.61241996,0.61014634,0.60787195,0.60105187,0.5987778,0.59650373
11,0.6275969,0.62532383,0.61850303,0.6162292,0.6139553,0.6116818,0.6094082,0.60258746,0.6003139,0.5980403
12,0.6291312,0.6268574,0.62003684,0.6177628,0.61548936,0.6132159,0.61094224,0.6041211,0.6018472,0.59957445
13,0.6306625,0.62838876,0.621568,0.6192941,0.6170207,0.61474735,0.6124732,0.60565245,0.60337883,0.6011058
14,0.63219243,0.6299192,0.6230978,0.6208238,0.6185505,0.61627734,0.61400336,0.6071826,0.6049087,0.60263526
15,0.63371974,0.6314467,0.6246257,0.62235194,0.620078,0.61780465,0.6155313,0.60870993,0.6064362,0.60416275
16,0.6352454,0.63297176,0.6261506,0.6238772,0.6216033,0.6193292,0.61705637,0.6102355,0.6079616,0.6056881
17,0.6367688,0.63449514,0.62767434,0.625401,0.6231264,0.62085325,0.61857975,0.61175925,0.60948515,0.60721195
18,0.6382912,0.6360172,0.6291964,0.62692326,0.6246498,0.62237567,0.6201021,0.6132813,0.61100745,0.6087335
19,0.6398107,0.6375373,0.6307164,0.62844324,0.6261687,0.6238955,0.62162226,0.6148006,0.61252743,0.6102539
20,0.6413287,0.63905495,0.632234,0.62996095,0.62768626,0.625413,0.623139,0.6163187,0.6140447,0.61177105
21,0.6428446,0.64057076,0.6337502,0.63147587,0.6292028,0.6269288,0.62465537,0.6178345,0.61556095,0.6132869
22,0.6443573,0.6420845,0.63526344,0.63299054,0.6307163,0.62844247,0.62616926,0.6193479,0.6170746,0.61480063
23,0.64586973,0.6435964,0.6367753,0.6345018,0.6322286,0.6299544,0.62768084,0.6208602,0.61858654,0.61631256
24,0.64738053,0.6451058,0.63828504,0.6360112,0.63373756,0.63146436,0.6291906,0.62236977,0.62009645,0.6178228
25,0.64888746,0.6466148,0.6397932,0.6375199,0.6352462,0.63297266,0.6306986,0.6238781,0.62160444,0.6193304
26,0.65039396,0.64811975,0.6412988,0.6390258,0.63675195,0.6344784,0.6322045,0.6253838,0.6231105,0.6208362
27,0.6518977,0.6496245,0.6428026,0.64053065,0.6382564,0.6359827,0.63370895,0.6268879,0.6246143,0.6223406
28,0.6533994,0.65112567,0.6443057,0.6420315,0.6397583,0.6374845,0.6352109,0.62838966,0.6261163,0.6238431
29,0.6548998,0.65262675,0.64580524,0.6435321,0.64125896,0.6389849,0.63671106,0.6298902,0.62761647,0.6253429
30,0.65639853,0.65412503,0.6473042,0.64503014,0.64275765,0.64048356,0.6382097,0.63138926,0.6291153,0.6268417
31,0.65789443,0.65562165,0.6488002,0.64652634,0.64425313,0.64197904,0.63970584,0.6328843,0.630611,0.6283376
32,0.6593893,0.65711534,0.65029496,0.64802134,0.6457479,0.6434742,0.6412006,0.6343793,0.6321057,0.62983215
33,0.6608817,0.65860844,0.6517876,0.6495137,0.6472402,0.6449663,0.64269316,0.6358718,0.63359845,0.6313246
34,0.6623728,0.6600991,0.6532782,0.6510047,0.6487307,0.64645755,0.6441837,0.6373629,0.6350889,0.6328157
35,0.6638617,0.6615878,0.65476704,0.65249354,0.6502191,0.64794624,0.64567226,0.63885164,0.6365782,0.63430405
36,0.66534805,0.6630744,0.6562532,0.65398014,0.65170646,0.6494331,0.64715946,0.64033854,0.6380649,0.63579077
37,0.66683304,0.6645598,0.65773857,0.65546465,0.6531914,0.6509174,0.64864373,0.641823,0.6395495,0.6372756
38,0.6683163,0.66604227,0.65922165,0.6569477,0.6546744,0.65240055,0.6501272,0.6433059,0.6410321,0.63875836
39,0.6697974,0.66752386,0.66070294,0.6584292,0.65615565,0.6538821,0.65160847,0.64478725,0.64251363,0.64024013
40,0.6712762,0.66900295,0.6621821,0.65990824,0.6576344,0.65536106,0.6530875,0.6462669,0.6439926,0.6417195
41,0.67275393,0.6704804,0.6636593,0.6613859,0.6591127,0.65683854,0.654565,0.64774364,0.6454705,0.64319724
42,0.6742297,0.6719561,0.665135,0.6628619,0.6605883,0.658314,0.65604043,0.6492197,0.64694643,0.6446727
43,0.67570347,0.67343,0.6666087,0.6643351,0.6620618,0.65978783,0.6575142,0.6506938,0.64842016,0.646146
44,0.6771747,0.6749013,0.668081,0.6658074,0.6635331,0.6612594,0.65898603,0.6521653,0.64989185,0.6476181
45,0.67864513,0.67637175,0.6695511,0.66727674,0.6650036,0.66272944,0.66045636,0.65363574,0.6513619,0.64908886
46,0.68011326,0.67784,0.67101884,0.6687456,0.66647226,0.6641985,0.6619242,0.6551037,0.65282995,0.6505562
