,0,1,2,3,4,5,6,7,8,9,10
0,-0.37863952,-0.42232612,-0.46601242,-0.59707195,-0.64075774,-0.6844443,-0.7281306,-0.771817,-0.8997966,-0.9315625,-0.9616195
1,-0.37565157,-0.41933778,-0.46302348,-0.59408283,-0.63776934,-0.6814563,-0.72514135,-0.76882756,-0.8972447,-0.92955774,-0.9596604
2,-0.3726657,-0.41635227,-0.46003813,-0.59109706,-0.6347834,-0.6784701,-0.72215647,-0.7658425,-0.8946872,-0.92755556,-0.9577038
3,-0.36968377,-0.41337177,-0.45705685,-0.5881164,-0.6318023,-0.67548853,-0.7191751,-0.76286155,-0.8921331,-0.925556,-0.9557503
4,-0.36670777,-0.4103946,-0.45408005,-0.58513916,-0.6288254,-0.67251176,-0.71619827,-0.7598842,-0.8895519,-0.9235592,-0.9537993
5,-0.36373493,-0.40742132,-0.4511073,-0.58216584,-0.62585217,-0.66953915,-0.7132256,-0.75691175,-0.8868818,-0.92156523,-0.95185035
6,-0.36076567,-0.4044522,-0.4481383,-0.5791967,-0.62288314,-0.6665692,-0.7102562,-0.7539425,-0.8841625,-0.9195739,-0.9499048
7,-0.3578003,-0.40148643,-0.44517308,-0.5762316,-0.6199185,-0.6636041,-0.70729035,-0.7509767,-0.88144684,-0.91758513,-0.9479613
8,-0.3548386,-0.39852506,-0.44221118,-0.57326984,-0.6169554,-0.6606421,-0.70432836,-0.74801517,-0.87873316,-0.9155985,-0.9460197
9,-0.35188136,-0.39556712,-0.439253,-0.570312,-0.6139982,-0.65768474,-0.70137095,-0.7450571,-0.87598974,-0.91342807,-0.94408107
10,-0.34892768,-0.39261353,-0.43629974,-0.5673584,-0.6110449,-0.65473115,-0.69841737,-0.74210334,-0.8731623,-0.9112172,-0.94214433
11,-0.34597713,-0.3896638,-0.4333494,-0.5644087,-0.60809445,-0.65178084,-0.6954676,-0.7391537,-0.87021315,-0.909008,-0.94016564
12,-0.34303144,-0.3867174,-0.43040356,-0.5614623,-0.60514927,-0.64883554,-0.69252235,-0.73620814,-0.8672669,-0.9067208,-0.93819004
13,-0.34008956,-0.38377562,-0.42746192,-0.5585209,-0.6022077,-0.6458939,-0.6895806,-0.733267,-0.86432505,-0.90437436,-0.9362174
14,-0.33715084,-0.38083708,-0.4245235,-0.55558264,-0.59926957,-0.64295536,-0.6866413,-0.7303277,-0.8613874,-0.9019426,-0.9342455
15,-0.3342171,-0.37790325,-0.42158917,-0.55264825,-0.5963349,-0.6400209,-0.68370765,-0.7273936,-0.8584524,-0.8994291,-0.9322783
16,-0.33128628,-0.37497255,-0.41865897,-0.5497183,-0.5934048,-0.63709104,-0.68077743,-0.72446376,-0.85552233,-0.8969186,-0.9303131
17,-0.32836044,-0.37204704,-0.4157335,-0.5467915,-0.59047747,-0.6341643,-0.67785084,-0.72153735,-0.85259557,-0.8944116,-0.9283504
18,-0.3254367,-0.36912328,-0.41281018,-0.5438685,-0.58755505,-0.6312413,-0.67492723,-0.71861416,-0.8496724,-0.8918769,-0.9263889
19,-0.32251766,-0.36620393,-0.4098905,-0.540949,-0.58463544,-0.6283217,-0.6720084,-0.7156948,-0.8467536,-0.88926446,-0.9244317
20,-0.3196031,-0.363289,-0.40697572,-0.5380342,-0.58172137,-0.6254077,-0.66909355,-0.7127797,-0.84383905,-0.8866087,-0.92247653
21,-0.31669167,-0.36037713,-0.40406325,-0.5351224,-0.57880884,-0.622495,-0.66618156,-0.7098679,-0.84092635,-0.88394165,-0.9205103
22,-0.31378338,-0.3574697,-0.40115613,-0.5322155,-0.57590127,-0.6195881,-0.6632743,-0.706961,-0.8380193,-0.88127834,-0.9183407
23,-0.31087938,-0.35456607,-0.39825225,-0.52931154,-0.57299703,-0.61668324,-0.6603696,-0.7040566,-0.83511496,-0.87860996,-0.9161664
24,-0.3079797,-0.35166594,-0.3953525,-0.52641124,-0.57009727,-0.6137838,-0.6574703,-0.7011561,-0.8322155,-0.8758751,-0.91399455
25,-0.30508232,-0.348769,-0.39245546,-0.52351457,-0.5672006,-0.61088693,-0.65457374,-0.69825983,-0.8293192,-0.87300485,-0.9117591
26,-0.30219027,-0.3458769,-0.38956276,-0.520622,-0.5643086,-0.6079948,-0.651681,-0.69536674,-0.8264261,-0.87011254,-0.90946394
27,-0.2993011,-0.34298775,-0.38667375,-0.51773256,-0.5614188,-0.6051048,-0.6487927,-0.69247794,-0.8235367,-0.8672232,-0.9071596
28,-0.29641593,-0.34010208,-0.3837891,-0.514848,-0.558534,-0.6022207,-0.6459074,-0.6895933,-0.8206514,-0.8643385,-0.90472627
29,-0.29353446,-0.33722055,-0.3809068,-0.51196647,-0.5556527,-0.59933853,-0.6430249,-0.6867117,-0.81776994,-0.8614567,-0.9022574
30,-0.29065648,-0.33434248,-0.37802863,-0.5090871,-0.5527734,-0.5964603,-0.64014655,-0.68383235,-0.8148912,-0.85857797,-0.89979154
31,-0.28778264,-0.33146897,-0.37515613,-0.50621426,-0.5499006,-0.59358644,-0.6372733,-0.68095976,-0.8120178,-0.8557049,-0.89732975
