,0,1,2
0,-0.06674358,-0.035752438,-0.0047584963
1,-0.051085014,-0.020091418,0.010904535
2,-0.035440017,-0.0044455663,0.026546575
3,-0.019820424,0.01117444,0.04216609
4,-0.0042239306,0.02677224,0.057766993
5,0.011353241,0.042347558,0.07334439
6,0.026909878,0.05790664,0.08890263
7,0.04244914,0.0734452,0.104436666
8,0.057970945,0.08896124,0.11995854
9,0.07346823,0.10446071,0.13545421
10,0.08894317,0.11993598,0.15093093
11,0.10440112,0.1353954,0.16638881
12,0.119838215,0.15082976,0.18182702
13,0.13525106,0.16624607,0.19723755
14,0.15064648,0.18164298,0.21263531
15,0.16602027,0.19701746,0.22801097
16,0.18137237,0.21236636,0.24336146
17,0.19671051,0.22770125,0.25869602
18,0.21202649,0.24301845,0.27401567
19,0.2273201,0.2583173,0.28931218
20,0.24259794,0.2735896,0.30458376
21,0.25785416,0.28884804,0.31984094
22,0.27308905,0.30407953,0.33507687
23,0.28830227,0.3193011,0.35029235
24,0.3034979,0.33449256,0.36548525
25,0.31867766,0.34967005,0.3806647
26,0.33383325,0.3648268,0.39582142
27,0.34897092,0.37996668,0.41095817
28,0.36408755,0.39508182,0.42607638
29,0.3791867,0.41018128,0.44117722
30,0.3942681,0.42526564,0.45625806
31,0.40932634,0.4403202,0.4713145
32,0.42436904,0.4553654,0.4863564
33,0.43939206,0.47038442,0.5013775
34,0.45439386,0.48538902,0.5163816
35,0.46937415,0.50037086,0.53136665
36,0.48434177,0.5153357,0.54633033
37,0.49928242,0.53027964,0.5612723
38,0.51420826,0.54520476,0.576199
39,0.5291177,0.5601146,0.5911059
40,0.5440041,0.5750013,0.6059936
41,0.55887586,0.58987004,0.6208645
42,0.573727,0.6047236,0.6357172
43,0.58855975,0.61955243,0.6505473
44,0.6033717,0.634366,0.6653626
45,0.61816925,0.6491656,0.6801582
46,0.6329441,0.66393954,0.69493353
47,0.6477044,0.6786959,0.7096901
48,0.66243994,0.69342965,0.72442544
49,0.6771623,0.70815575,0.73915
50,0.6918613,0.72285706,0.75385094
51,0.70654833,0.73754156,0.7685377
52,0.7212115,0.75220436,0.7832005
53,0.7358552,0.76685214,0.79784167
54,0.75049114,0.78148615,0.8124764
55,0.7650939,0.79609114,0.8270864
56,0.7796901,0.81068647,0.8416811
57,0.79426533,0.82525766,0.8562529
58,0.80882096,0.8398155,0.8708103
59,0.82335883,0.8543539,0.88486594
60,0.83788025,0.86887556,0.89650285
61,0.8523823,0.8830756,0.90741175
62,0.8668698,0.8951402,0.91556156
63,0.8812204,0.9060696,0.92188454
64,0.89372134,0.9147272,0.9278811
65,0.9046211,0.9212008,0.93386316
66,0.91368234,0.92721957,0.9398397
67,0.9204396,0.93318665,0.9458068
68,0.92652935,0.93915004,0.9517684
69,0.9324832,0.9451035,0.9577229
70,0.9384304,0.9510501,0.9636692
71,0.9443692,0.9569901,0.96960884
72,0.95030195,0.962921,0.9755412
73,0.9562268,0.96884656,0.98146737
74,0.9621435,0.97476363,0.98738325
75,0.9680556,0.98067486,0.9932955
76,0.9739585,0.9865766,0.9991971
77,0.9798542,0.99247485,1.005094
78,0.9857436,0.9983634,1.0109826
79,0.9916249,1.0042446,1.016864
80,0.9974993,1.0101188,1.0227389
81,1.0033691,1.0159881,1.0286089
82,1.0092292,1.0218492,1.0344691
83,1.0150828,1.027703,1.0403231
84,1.0209302,1.0335486,1.0461689
85,1.0267683,1.0393883,1.052009
86,1.032601,1.0452216,1.057841
87,1.038427,1.051047,1.0636669
88,1.0442461,1.0568671,1.069485
89,1.050057,1.0626763,1.0752974
90,1.0558622,1.068482,1.0811017
91,1.0616597,1.0742807,1.0868998
92,1.0674528,1.0800731,1.0926929
93,1.0732366,1.0858563,1.0984763
94,1.0790137,1.0916336,1.1042523
95,1.0847832,1.0974026,1.1100234
96,1.0905474,1.1031685,1.1157883
97,1.0963048,1.1089238,1.1215442
98,1.1020552,1.1146753,1.1272959
99,1.1077988,1.1204168,1.1330371
100,1.1135342,1.1261543,1.1387753
