,0,1,2,3,4,5,6
0,-0.22248715,-0.21759976,-0.21270972,-0.2078222,-0.19315659,-0.18826886,-0.16261266
1,-0.21027812,-0.20538795,-0.20050266,-0.19561687,-0.18095335,-0.176062,-0.14299487
2,-0.1980871,-0.19319814,-0.18830632,-0.18342037,-0.16875601,-0.15891452,-0.1234
3,-0.18590789,-0.18101947,-0.1761308,-0.17124303,-0.1565798,-0.13934459,-0.103825204
4,-0.17375119,-0.16886061,-0.16397373,-0.15908456,-0.14442159,-0.11980589,-0.08428821
5,-0.16160683,-0.15671761,-0.1518301,-0.14694111,-0.13227835,-0.1002906,-0.064772666
6,-0.14947852,-0.14459154,-0.13970362,-0.13481829,-0.11631274,-0.08079681,-0.045284737
7,-0.13736555,-0.13247955,-0.12759106,-0.12270232,-0.09685286,-0.061335444,-0.025818815
8,-0.12527035,-0.12038148,-0.11549307,-0.11060331,-0.07740864,-0.04189482,-0.006377638
9,-0.11318759,-0.10830182,-0.10341161,-0.09852586,-0.057992212,-0.022479257,0.013036159
10,-0.10112553,-0.09623561,-0.091350056,-0.08646115,-0.038605906,-0.0030896945,0.032424152
11,-0.08907672,-0.084185645,-0.079298645,-0.07441082,-0.01924252,0.016275384,0.0517881
12,-0.07704437,-0.072154686,-0.06726571,-0.06237815,9.319073e-05,0.03561069,0.07112588
13,-0.06502825,-0.060139496,-0.055250883,-0.050363433,0.019403588,0.054921117,0.090433955
14,-0.053025346,-0.048135914,-0.043249603,-0.038358886,0.03868879,0.07420825,0.10972358
15,-0.041040633,-0.036153637,-0.031265847,-0.026376147,0.05795314,0.0934683,0.12898587
16,-0.029073123,-0.024183925,-0.019296663,-0.014409006,0.0771847,0.11269918,0.14821312
17,-0.017119115,-0.012230698,-0.0073415563,-0.0024560278,0.09639709,0.1319087,0.16742428
18,-0.005177863,-0.00029103784,0.0045968606,0.009485902,0.115583934,0.15109845,0.18661754
19,0.0067440034,0.01163117,0.016520545,0.028198976,0.13474594,0.17026208,0.20578073
20,0.018652258,0.023537483,0.02842541,0.047334258,0.15388177,0.18939385,0.22491018
21,0.030543758,0.035431672,0.04031878,0.06644745,0.17299259,0.20850804,0.24402332
22,0.04241656,0.04730659,0.052196097,0.08552865,0.19207674,0.22759417,0.2631085
23,0.054281473,0.05916941,0.0690776,0.10459283,0.21113856,0.24665701,0.28217262
24,0.066127084,0.07101445,0.08811539,0.12362896,0.23017792,0.26569024,0.30120736
25,0.07795679,0.08284725,0.107127644,0.1426427,0.24919097,0.28470513,0.32022113
26,0.08977327,0.09465905,0.12611496,0.16163053,0.26817584,0.30369255,0.33920848
27,0.10157126,0.109562874,0.14507872,0.18059371,0.28714153,0.3226568,0.35817128
28,0.113357164,0.12849812,0.16401543,0.19952954,0.3060785,0.34159264,0.37710992
29,0.12512687,0.14741483,0.18293273,0.21844521,0.3249926,0.36051115,0.396024
30,0.13688505,0.16631092,0.20182854,0.23734342,0.34388953,0.3794026,0.41491914
31,0.1496541,0.18517226,0.22068422,0.2561983,0.36274707,0.39826602,0.43377733
32,0.16850133,0.20401679,0.2395338,0.2750493,0.38159275,0.41711074,0.45262375
33,0.18732026,0.22283399,0.2583502,0.2938672,0.40041277,0.4359282,0.4714429
34,0.2061145,0.24163195,0.27714756,0.31265962,0.41920784,0.454726,0.49023977
35,0.22488587,0.2604009,0.29591662,0.33143073,0.43797818,0.47349262,0.5090106
36,0.24363375,0.2791466,0.31466153,0.35017854,0.45672193,0.4922385,0.5277535
37,0.26235047,0.2978665,0.33338335,0.36889768,0.47544318,0.5109624,0.5464739
38,0.28104883,0.31656715,0.35208002,0.38759565,0.4941416,0.52965987,0.5651712
39,0.29973015,0.33524132,0.3707543,0.40627334,0.51281923,0.5483342,0.5838482
40,0.31837615,0.35388932,0.38940528,0.42492107,0.5314692,0.5669828,0.602497
41,0.3370021,0.3725188,0.40803683,0.44354856,0.5500949,0.5856122,0.6211278
42,0.3556083,0.39112514,0.42664027,0.46215332,0.568703,0.6042211,0.6397328
43,0.3741884,0.40970367,0.44521967,0.4807355,0.5872829,0.622798,0.6583113
44,0.39274788,0.42826295,0.46377787,0.49929413,0.6058402,0.64135605,0.6768684
45,0.41128302,0.44679984,0.48231602,0.5178303,0.62437564,0.65989316,0.6954081
46,0.42979124,0.46531034,0.5008242,0.5363356,0.6428846,0.6784022,0.71391726
47,0.44828224,0.48379517,0.5193101,0.5548261,0.6613723,0.6968889,0.7324059
48,0.4667404,0.5022538,0.53777057,0.57328606,0.67983377,0.71534777,0.75086
49,0.48518407,0.5207013,0.55621654,0.5917303,0.69827616,0.73379487,0.769282
50,0.5036012,0.5391194,0.5746318,0.61015046,0.71669286,0.75221145,0.78728396
51,0.5219998,0.5575141,0.59303045,0.628545,0.73509055,0.7705891,0.8039945
52,0.5403666,0.5758823,0.61140114,0.6469134,0.7534595,0.78852415,0.81864256
53,0.5587159,0.59422934,0.6297444,0.6652625,0.771799,0.8052438,0.82873493
54,0.57704556,0.6125642,0.648078,0.6835906,0.7896793,0.8197755,0.83785343
55,0.59534323,0.6308586,0.6663775,0.7018928,0.80642354,0.82981277,0.8462969
56,0.61362946,0.6491442,0.6846615,0.72017616,0.82082325,0.838838,0.8547353
57,0.63188416,0.66740173,0.70291716,0.7384343,0.83084714,0.8472629,0.86315936
58,0.65011835,0.68563515,0.7211509,0.7566683,0.83978176,0.85567826,0.871574
59,0.6683327,0.70384955,0.73936296,0.77488196,0.8481862,0.86408263,0.8799797
60,0.6865269,0.7220431,0.7575598,0.79250264,0.85658115,0.8724775,0.8883759
