,0,1,2,3
0,-0.41370833,-0.30761167,-0.27224874,-0.23688427
1,-0.3920246,-0.2859317,-0.25056604,-0.21520182
2,-0.37036198,-0.26427063,-0.22890702,-0.19354549
3,-0.34873426,-0.24264278,-0.20727848,-0.17191494
4,-0.32713637,-0.22104721,-0.1856804,-0.15031525
5,-0.3055705,-0.19947946,-0.16411518,-0.12875088
6,-0.28402734,-0.17793332,-0.14257158,-0.107205085
7,-0.26251146,-0.15642284,-0.121056825,-0.085692376
8,-0.24102548,-0.13493249,-0.099568285,-0.06420073
9,-0.21956407,-0.11347618,-0.07811018,-0.042745646
10,-0.1981395,-0.09204877,-0.056682155,-0.021316638
11,-0.17673564,-0.07064184,-0.03527962,8.6155946e-05
12,-0.1553624,-0.049271792,-0.013906344,0.021457486
13,-0.13402073,-0.027929341,0.007436846,0.04280066
14,-0.11270091,-0.0066071437,0.028756678,0.06412023
15,-0.09141433,0.014677114,0.05004016,0.0854034
16,-0.07015672,0.035936035,0.07129867,0.106659725
17,-0.04892409,0.05716434,0.09252931,0.12789418
18,-0.027714644,0.078376934,0.11373964,0.14910656
19,-0.006537507,0.09955489,0.13492136,0.17028429
20,0.014609009,0.120704964,0.15606931,0.19143176
21,0.035733182,0.14182958,0.1771939,0.21255606
22,0.056827195,0.16292135,0.19828324,0.23364994
23,0.07789921,0.18399437,0.21935636,0.2547187
24,0.098935686,0.20503248,0.24039645,0.27575988
25,0.11995297,0.22604786,0.26141265,0.29677165
26,0.14093736,0.24703018,0.28239548,0.31776017
27,0.16189896,0.2679945,0.3033576,0.33872372
28,0.18282948,0.288922,0.32428703,0.35965335
29,0.20373718,0.30983144,0.3451952,0.38056314
30,0.22462139,0.3307152,0.36607867,0.40144306
31,0.24546592,0.35155952,0.38692307,0.4222886
32,0.26629922,0.37238908,0.40775424,0.4431179
33,0.287096,0.3931869,0.42855337,0.463917
34,0.30787253,0.41396162,0.44932407,0.48469108
35,0.3286154,0.43470618,0.47007176,0.50543433
36,0.3493369,0.45543033,0.49079287,0.52615476
37,0.37002617,0.47611997,0.51148134,0.5468436
38,0.3906898,0.49678364,0.5321488,0.56751305
39,0.41133875,0.51743007,0.5527936,0.58815473
40,0.43194723,0.5380397,0.57340324,0.6087703
41,0.45253715,0.55862933,0.5939943,0.629357
42,0.4731027,0.5791949,0.6145599,0.64992326
43,0.4936369,0.59972936,0.6350921,0.6704577
44,0.51414794,0.62023807,0.65560734,0.69096863
45,0.5346335,0.64073086,0.6760915,0.71145594
46,0.55509484,0.66118425,0.6965466,0.7319148
47,0.57552975,0.6816197,0.7169841,0.7523492
48,0.5959293,0.7020243,0.73672336,0.77062213
49,0.61632097,0.7207138,0.75461495,0.7885169
50,0.6366743,0.73857826,0.7724809,0.80638164
51,0.65471786,0.7564247,0.79032433,0.8242287
52,0.6725362,0.7742406,0.80814385,0.84204555
53,0.6903311,0.79204,0.82594174,0.8598429
54,0.7081181,0.8098216,0.84372216,0.8771522
55,0.725867,0.82756954,0.8614737,0.8920242
56,0.743603,0.84530914,0.87877816,0.900829
57,0.7613114,0.86301506,0.893428,0.9084787
58,0.7789986,0.8803189,0.9018862,0.9160557
59,0.7966688,0.89471227,0.90950304,0.9236152
60,0.81431603,0.9029054,0.91706175,0.9311357
61,0.83193374,0.91049075,0.9246068,0.93864584
62,0.8495399,0.9180318,0.9321086,0.94539815
63,0.8671194,0.92556095,0.9387668,0.9514139
64,0.88413405,0.93212825,0.9447745,0.9574219
65,0.89762,0.9381263,0.9507737,0.9634206
66,0.9057241,0.94412124,0.9567673,0.96941406
67,0.91207665,0.95010555,0.96275187,0.9753997
68,0.9180889,0.95608634,0.9687325,0.9813801
69,0.92409205,0.96205616,0.97470325,0.9873496
70,0.9300791,0.9680207,0.9806682,0.99331415
71,0.9360381,0.97397673,0.9866247,0.9992717
72,0.9419856,0.97992617,0.99257374,1.0052218
73,0.94792885,0.9858704,0.99851763,1.0111643
74,0.9538632,0.99180365,1.0044502,1.017098
75,0.95979244,0.9977318,1.0103785,1.023026
76,0.96571136,1.0036525,1.0162996,1.0289457
77,0.9716261,1.009567,1.0222149,1.0348601
78,0.97753155,1.0154724,1.0281197,1.0407665
79,0.9834299,1.0213714,1.0340182,1.0466653
80,0.9893217,1.0272624,1.0399091,1.0525566
81,0.99520874,1.0331502,1.045797,1.0584425
82,1.0010861,1.0390273,1.0516742,1.0643216
83,1.0069579,1.0448974,1.0575452,1.070191
84,1.0128216,1.0507616,1.0634085,1.0760546
85,1.0186775,1.0566186,1.0692661,1.0819124
86,1.0245273,1.0624675,1.0751146,1.0877619
87,1.030369,1.0683101,1.0809573,1.0936036
88,1.0362053,1.0741462,1.0867935,1.0994396
89,1.0420334,1.0799747,1.0926217,1.105268
90,1.0478562,1.0857958,1.0984432,1.1110907
91,1.0536709,1.0916104,1.1042581,1.116905
92,1.0594814,1.0974203,1.1100675,1.1227145
93,1.0652825,1.1032212,1.1158687,1.128515
94,1.0710756,1.1090162,1.1216629,1.1343086
95,1.0768616,1.1148022,1.1274499,1.1400961
96,1.0826434,1.1205846,1.1332306,1.1458777
97,1.0884176,1.1263576,1.139004,1.1516498
98,1.0941843,1.1321255,1.1447734,1.1574187
99,1.0999434,1.1378839,1.1505306,1.1631775
100,1.1056976,1.1436367,1.1562845,1.16893
